# query|compound|entity
DMT Sigma-1 receptor SIGMAR1 receptor pharmacology assay|DMT|Sigma-1 receptor (SIGMAR1)
DMT Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|DMT|Sigma-1 receptor (SIGMAR1)
DMT Sigma-2 receptor TMEM97 binding affinity Ki|DMT|Sigma-2 receptor (TMEM97)
DMT Sigma-2 receptor TMEM97 receptor pharmacology assay|DMT|Sigma-2 receptor (TMEM97)
DMT Sigma-2 receptor TMEM97 functional assay agonist antagonist|DMT|Sigma-2 receptor (TMEM97)
DMT kappa opioid receptor OPRK1 binding affinity Ki|DMT|kappa opioid receptor (OPRK1)
DMT kappa opioid receptor OPRK1 receptor pharmacology assay|DMT|kappa opioid receptor (OPRK1)
DMT kappa opioid receptor OPRK1 functional assay agonist antagonist|DMT|kappa opioid receptor (OPRK1)
DMT mu opioid receptor OPRM1 binding affinity Ki|DMT|mu opioid receptor (OPRM1)
DMT mu opioid receptor OPRM1 receptor pharmacology assay|DMT|mu opioid receptor (OPRM1)
DMT mu opioid receptor OPRM1 functional assay agonist antagonist|DMT|mu opioid receptor (OPRM1)
DMT delta opioid receptor OPRD1 binding affinity Ki|DMT|delta opioid receptor (OPRD1)
DMT delta opioid receptor OPRD1 receptor pharmacology assay|DMT|delta opioid receptor (OPRD1)
DMT delta opioid receptor OPRD1 functional assay agonist antagonist|DMT|delta opioid receptor (OPRD1)
DMT NMDA receptor binding affinity Ki|DMT|NMDA receptor
DMT NMDA receptor pharmacology assay|DMT|NMDA receptor
DMT NMDA receptor functional assay agonist antagonist|DMT|NMDA receptor
DMT AMPA receptor binding affinity Ki|DMT|AMPA receptor
DMT AMPA receptor pharmacology assay|DMT|AMPA receptor
DMT AMPA receptor functional assay agonist antagonist|DMT|AMPA receptor
DMT TrkB NTRK2 binding affinity Ki|DMT|TrkB (NTRK2)
DMT TrkB NTRK2 receptor pharmacology assay|DMT|TrkB (NTRK2)
DMT TrkB NTRK2 functional assay agonist antagonist|DMT|TrkB (NTRK2)
DMT CB1 receptor CNR1 binding affinity Ki|DMT|CB1 receptor (CNR1)
DMT CB1 receptor CNR1 receptor pharmacology assay|DMT|CB1 receptor (CNR1)
DMT CB1 receptor CNR1 functional assay agonist antagonist|DMT|CB1 receptor (CNR1)
DMT CB2 receptor CNR2 binding affinity Ki|DMT|CB2 receptor (CNR2)
DMT CB2 receptor CNR2 receptor pharmacology assay|DMT|CB2 receptor (CNR2)
DMT CB2 receptor CNR2 functional assay agonist antagonist|DMT|CB2 receptor (CNR2)
5-MeO-DMT 5-HT2A binding affinity Ki|5-MeO-DMT|5-HT2A
5-MeO-DMT 5-HT2A receptor pharmacology assay|5-MeO-DMT|5-HT2A
5-MeO-DMT 5-HT2A functional assay agonist antagonist|5-MeO-DMT|5-HT2A
5-MeO-DMT 5-HT2B binding affinity Ki|5-MeO-DMT|5-HT2B
5-MeO-DMT 5-HT2B receptor pharmacology assay|5-MeO-DMT|5-HT2B
5-MeO-DMT 5-HT2B functional assay agonist antagonist|5-MeO-DMT|5-HT2B
5-MeO-DMT 5-HT2C binding affinity Ki|5-MeO-DMT|5-HT2C
5-MeO-DMT 5-HT2C receptor pharmacology assay|5-MeO-DMT|5-HT2C
5-MeO-DMT 5-HT2C functional assay agonist antagonist|5-MeO-DMT|5-HT2C
5-MeO-DMT 5-HT1A binding affinity Ki|5-MeO-DMT|5-HT1A
5-MeO-DMT 5-HT1A receptor pharmacology assay|5-MeO-DMT|5-HT1A
5-MeO-DMT 5-HT1A functional assay agonist antagonist|5-MeO-DMT|5-HT1A
5-MeO-DMT 5-HT1B binding affinity Ki|5-MeO-DMT|5-HT1B
5-MeO-DMT 5-HT1B receptor pharmacology assay|5-MeO-DMT|5-HT1B
5-MeO-DMT 5-HT1B functional assay agonist antagonist|5-MeO-DMT|5-HT1B
5-MeO-DMT 5-HT1D binding affinity Ki|5-MeO-DMT|5-HT1D
5-MeO-DMT 5-HT1D receptor pharmacology assay|5-MeO-DMT|5-HT1D
5-MeO-DMT 5-HT1D functional assay agonist antagonist|5-MeO-DMT|5-HT1D
5-MeO-DMT 5-HT1E binding affinity Ki|5-MeO-DMT|5-HT1E
5-MeO-DMT 5-HT1E receptor pharmacology assay|5-MeO-DMT|5-HT1E
5-MeO-DMT 5-HT1E functional assay agonist antagonist|5-MeO-DMT|5-HT1E
5-MeO-DMT 5-HT1F binding affinity Ki|5-MeO-DMT|5-HT1F
5-MeO-DMT 5-HT1F receptor pharmacology assay|5-MeO-DMT|5-HT1F
5-MeO-DMT 5-HT1F functional assay agonist antagonist|5-MeO-DMT|5-HT1F
5-MeO-DMT 5-HT5A binding affinity Ki|5-MeO-DMT|5-HT5A
5-MeO-DMT 5-HT5A receptor pharmacology assay|5-MeO-DMT|5-HT5A
5-MeO-DMT 5-HT5A functional assay agonist antagonist|5-MeO-DMT|5-HT5A
5-MeO-DMT 5-HT6 binding affinity Ki|5-MeO-DMT|5-HT6
5-MeO-DMT 5-HT6 receptor pharmacology assay|5-MeO-DMT|5-HT6
5-MeO-DMT 5-HT6 functional assay agonist antagonist|5-MeO-DMT|5-HT6
5-MeO-DMT 5-HT7 binding affinity Ki|5-MeO-DMT|5-HT7
5-MeO-DMT 5-HT7 receptor pharmacology assay|5-MeO-DMT|5-HT7
5-MeO-DMT 5-HT7 functional assay agonist antagonist|5-MeO-DMT|5-HT7
5-MeO-DMT mGluR2 GRM2 binding affinity Ki|5-MeO-DMT|mGluR2 (GRM2)
5-MeO-DMT mGluR2 GRM2 receptor pharmacology assay|5-MeO-DMT|mGluR2 (GRM2)
5-MeO-DMT mGluR2 GRM2 functional assay agonist antagonist|5-MeO-DMT|mGluR2 (GRM2)
5-MeO-DMT TAAR1 binding affinity Ki|5-MeO-DMT|TAAR1
5-MeO-DMT TAAR1 receptor pharmacology assay|5-MeO-DMT|TAAR1
5-MeO-DMT TAAR1 functional assay agonist antagonist|5-MeO-DMT|TAAR1
5-MeO-DMT SERT SLC6A4 binding affinity Ki|5-MeO-DMT|SERT (SLC6A4)
5-MeO-DMT SERT SLC6A4 receptor pharmacology assay|5-MeO-DMT|SERT (SLC6A4)
5-MeO-DMT SERT SLC6A4 functional assay agonist antagonist|5-MeO-DMT|SERT (SLC6A4)
5-MeO-DMT NET SLC6A2 binding affinity Ki|5-MeO-DMT|NET (SLC6A2)
5-MeO-DMT NET SLC6A2 receptor pharmacology assay|5-MeO-DMT|NET (SLC6A2)
5-MeO-DMT NET SLC6A2 functional assay agonist antagonist|5-MeO-DMT|NET (SLC6A2)
5-MeO-DMT DAT SLC6A3 binding affinity Ki|5-MeO-DMT|DAT (SLC6A3)
5-MeO-DMT DAT SLC6A3 receptor pharmacology assay|5-MeO-DMT|DAT (SLC6A3)
5-MeO-DMT DAT SLC6A3 functional assay agonist antagonist|5-MeO-DMT|DAT (SLC6A3)
5-MeO-DMT VMAT2 SLC18A2 binding affinity Ki|5-MeO-DMT|VMAT2 (SLC18A2)
5-MeO-DMT VMAT2 SLC18A2 receptor pharmacology assay|5-MeO-DMT|VMAT2 (SLC18A2)
5-MeO-DMT VMAT2 SLC18A2 functional assay agonist antagonist|5-MeO-DMT|VMAT2 (SLC18A2)
5-MeO-DMT D1 receptor DRD1 binding affinity Ki|5-MeO-DMT|D1 receptor (DRD1)
5-MeO-DMT D1 receptor DRD1 receptor pharmacology assay|5-MeO-DMT|D1 receptor (DRD1)
5-MeO-DMT D1 receptor DRD1 functional assay agonist antagonist|5-MeO-DMT|D1 receptor (DRD1)
5-MeO-DMT D2 receptor DRD2 binding affinity Ki|5-MeO-DMT|D2 receptor (DRD2)
5-MeO-DMT D2 receptor DRD2 receptor pharmacology assay|5-MeO-DMT|D2 receptor (DRD2)
5-MeO-DMT D2 receptor DRD2 functional assay agonist antagonist|5-MeO-DMT|D2 receptor (DRD2)
5-MeO-DMT D3 receptor DRD3 binding affinity Ki|5-MeO-DMT|D3 receptor (DRD3)
5-MeO-DMT D3 receptor DRD3 receptor pharmacology assay|5-MeO-DMT|D3 receptor (DRD3)
5-MeO-DMT D3 receptor DRD3 functional assay agonist antagonist|5-MeO-DMT|D3 receptor (DRD3)
5-MeO-DMT D4 receptor DRD4 binding affinity Ki|5-MeO-DMT|D4 receptor (DRD4)
5-MeO-DMT D4 receptor DRD4 receptor pharmacology assay|5-MeO-DMT|D4 receptor (DRD4)
5-MeO-DMT D4 receptor DRD4 functional assay agonist antagonist|5-MeO-DMT|D4 receptor (DRD4)
5-MeO-DMT D5 receptor DRD5 binding affinity Ki|5-MeO-DMT|D5 receptor (DRD5)
5-MeO-DMT D5 receptor DRD5 receptor pharmacology assay|5-MeO-DMT|D5 receptor (DRD5)
5-MeO-DMT D5 receptor DRD5 functional assay agonist antagonist|5-MeO-DMT|D5 receptor (DRD5)
5-MeO-DMT Alpha1A adrenergic receptor ADRA1A binding affinity Ki|5-MeO-DMT|Alpha1A adrenergic receptor (ADRA1A)
5-MeO-DMT Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|5-MeO-DMT|Alpha1A adrenergic receptor (ADRA1A)
5-MeO-DMT Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|5-MeO-DMT|Alpha1A adrenergic receptor (ADRA1A)
5-MeO-DMT Alpha1B adrenergic receptor ADRA1B binding affinity Ki|5-MeO-DMT|Alpha1B adrenergic receptor (ADRA1B)
5-MeO-DMT Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|5-MeO-DMT|Alpha1B adrenergic receptor (ADRA1B)
5-MeO-DMT Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|5-MeO-DMT|Alpha1B adrenergic receptor (ADRA1B)
5-MeO-DMT Alpha2A adrenergic receptor ADRA2A binding affinity Ki|5-MeO-DMT|Alpha2A adrenergic receptor (ADRA2A)
5-MeO-DMT Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|5-MeO-DMT|Alpha2A adrenergic receptor (ADRA2A)
5-MeO-DMT Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|5-MeO-DMT|Alpha2A adrenergic receptor (ADRA2A)
5-MeO-DMT Alpha2B adrenergic receptor ADRA2B binding affinity Ki|5-MeO-DMT|Alpha2B adrenergic receptor (ADRA2B)
5-MeO-DMT Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|5-MeO-DMT|Alpha2B adrenergic receptor (ADRA2B)
5-MeO-DMT Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|5-MeO-DMT|Alpha2B adrenergic receptor (ADRA2B)
5-MeO-DMT Alpha2C adrenergic receptor ADRA2C binding affinity Ki|5-MeO-DMT|Alpha2C adrenergic receptor (ADRA2C)
5-MeO-DMT Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|5-MeO-DMT|Alpha2C adrenergic receptor (ADRA2C)
5-MeO-DMT Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|5-MeO-DMT|Alpha2C adrenergic receptor (ADRA2C)
5-MeO-DMT Beta1 adrenergic receptor ADRB1 binding affinity Ki|5-MeO-DMT|Beta1 adrenergic receptor (ADRB1)
5-MeO-DMT Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|5-MeO-DMT|Beta1 adrenergic receptor (ADRB1)
5-MeO-DMT Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|5-MeO-DMT|Beta1 adrenergic receptor (ADRB1)
5-MeO-DMT Beta2 adrenergic receptor ADRB2 binding affinity Ki|5-MeO-DMT|Beta2 adrenergic receptor (ADRB2)
5-MeO-DMT Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|5-MeO-DMT|Beta2 adrenergic receptor (ADRB2)
5-MeO-DMT Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|5-MeO-DMT|Beta2 adrenergic receptor (ADRB2)
5-MeO-DMT M1 muscarinic receptor CHRM1 binding affinity Ki|5-MeO-DMT|M1 muscarinic receptor (CHRM1)
5-MeO-DMT M1 muscarinic receptor CHRM1 receptor pharmacology assay|5-MeO-DMT|M1 muscarinic receptor (CHRM1)
5-MeO-DMT M1 muscarinic receptor CHRM1 functional assay agonist antagonist|5-MeO-DMT|M1 muscarinic receptor (CHRM1)
5-MeO-DMT M2 muscarinic receptor CHRM2 binding affinity Ki|5-MeO-DMT|M2 muscarinic receptor (CHRM2)
5-MeO-DMT M2 muscarinic receptor CHRM2 receptor pharmacology assay|5-MeO-DMT|M2 muscarinic receptor (CHRM2)
5-MeO-DMT M2 muscarinic receptor CHRM2 functional assay agonist antagonist|5-MeO-DMT|M2 muscarinic receptor (CHRM2)
5-MeO-DMT M3 muscarinic receptor CHRM3 binding affinity Ki|5-MeO-DMT|M3 muscarinic receptor (CHRM3)
5-MeO-DMT M3 muscarinic receptor CHRM3 receptor pharmacology assay|5-MeO-DMT|M3 muscarinic receptor (CHRM3)
5-MeO-DMT M3 muscarinic receptor CHRM3 functional assay agonist antagonist|5-MeO-DMT|M3 muscarinic receptor (CHRM3)
5-MeO-DMT M4 muscarinic receptor CHRM4 binding affinity Ki|5-MeO-DMT|M4 muscarinic receptor (CHRM4)
5-MeO-DMT M4 muscarinic receptor CHRM4 receptor pharmacology assay|5-MeO-DMT|M4 muscarinic receptor (CHRM4)
5-MeO-DMT M4 muscarinic receptor CHRM4 functional assay agonist antagonist|5-MeO-DMT|M4 muscarinic receptor (CHRM4)
5-MeO-DMT M5 muscarinic receptor CHRM5 binding affinity Ki|5-MeO-DMT|M5 muscarinic receptor (CHRM5)
5-MeO-DMT M5 muscarinic receptor CHRM5 receptor pharmacology assay|5-MeO-DMT|M5 muscarinic receptor (CHRM5)
5-MeO-DMT M5 muscarinic receptor CHRM5 functional assay agonist antagonist|5-MeO-DMT|M5 muscarinic receptor (CHRM5)
5-MeO-DMT H1 receptor HRH1 binding affinity Ki|5-MeO-DMT|H1 receptor (HRH1)
5-MeO-DMT H1 receptor HRH1 receptor pharmacology assay|5-MeO-DMT|H1 receptor (HRH1)
5-MeO-DMT H1 receptor HRH1 functional assay agonist antagonist|5-MeO-DMT|H1 receptor (HRH1)
5-MeO-DMT H2 receptor HRH2 binding affinity Ki|5-MeO-DMT|H2 receptor (HRH2)
5-MeO-DMT H2 receptor HRH2 receptor pharmacology assay|5-MeO-DMT|H2 receptor (HRH2)
5-MeO-DMT H2 receptor HRH2 functional assay agonist antagonist|5-MeO-DMT|H2 receptor (HRH2)
5-MeO-DMT Sigma-1 receptor SIGMAR1 binding affinity Ki|5-MeO-DMT|Sigma-1 receptor (SIGMAR1)
5-MeO-DMT Sigma-1 receptor SIGMAR1 receptor pharmacology assay|5-MeO-DMT|Sigma-1 receptor (SIGMAR1)
5-MeO-DMT Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|5-MeO-DMT|Sigma-1 receptor (SIGMAR1)
5-MeO-DMT Sigma-2 receptor TMEM97 binding affinity Ki|5-MeO-DMT|Sigma-2 receptor (TMEM97)
5-MeO-DMT Sigma-2 receptor TMEM97 receptor pharmacology assay|5-MeO-DMT|Sigma-2 receptor (TMEM97)
5-MeO-DMT Sigma-2 receptor TMEM97 functional assay agonist antagonist|5-MeO-DMT|Sigma-2 receptor (TMEM97)
5-MeO-DMT kappa opioid receptor OPRK1 binding affinity Ki|5-MeO-DMT|kappa opioid receptor (OPRK1)
5-MeO-DMT kappa opioid receptor OPRK1 receptor pharmacology assay|5-MeO-DMT|kappa opioid receptor (OPRK1)
5-MeO-DMT kappa opioid receptor OPRK1 functional assay agonist antagonist|5-MeO-DMT|kappa opioid receptor (OPRK1)
5-MeO-DMT mu opioid receptor OPRM1 binding affinity Ki|5-MeO-DMT|mu opioid receptor (OPRM1)
5-MeO-DMT mu opioid receptor OPRM1 receptor pharmacology assay|5-MeO-DMT|mu opioid receptor (OPRM1)
5-MeO-DMT mu opioid receptor OPRM1 functional assay agonist antagonist|5-MeO-DMT|mu opioid receptor (OPRM1)
5-MeO-DMT delta opioid receptor OPRD1 binding affinity Ki|5-MeO-DMT|delta opioid receptor (OPRD1)
5-MeO-DMT delta opioid receptor OPRD1 receptor pharmacology assay|5-MeO-DMT|delta opioid receptor (OPRD1)
5-MeO-DMT delta opioid receptor OPRD1 functional assay agonist antagonist|5-MeO-DMT|delta opioid receptor (OPRD1)
5-MeO-DMT NMDA receptor binding affinity Ki|5-MeO-DMT|NMDA receptor
5-MeO-DMT NMDA receptor pharmacology assay|5-MeO-DMT|NMDA receptor
5-MeO-DMT NMDA receptor functional assay agonist antagonist|5-MeO-DMT|NMDA receptor
5-MeO-DMT AMPA receptor binding affinity Ki|5-MeO-DMT|AMPA receptor
5-MeO-DMT AMPA receptor pharmacology assay|5-MeO-DMT|AMPA receptor
5-MeO-DMT AMPA receptor functional assay agonist antagonist|5-MeO-DMT|AMPA receptor
5-MeO-DMT TrkB NTRK2 binding affinity Ki|5-MeO-DMT|TrkB (NTRK2)
5-MeO-DMT TrkB NTRK2 receptor pharmacology assay|5-MeO-DMT|TrkB (NTRK2)
5-MeO-DMT TrkB NTRK2 functional assay agonist antagonist|5-MeO-DMT|TrkB (NTRK2)
5-MeO-DMT CB1 receptor CNR1 binding affinity Ki|5-MeO-DMT|CB1 receptor (CNR1)
5-MeO-DMT CB1 receptor CNR1 receptor pharmacology assay|5-MeO-DMT|CB1 receptor (CNR1)
5-MeO-DMT CB1 receptor CNR1 functional assay agonist antagonist|5-MeO-DMT|CB1 receptor (CNR1)
5-MeO-DMT CB2 receptor CNR2 binding affinity Ki|5-MeO-DMT|CB2 receptor (CNR2)
5-MeO-DMT CB2 receptor CNR2 receptor pharmacology assay|5-MeO-DMT|CB2 receptor (CNR2)
5-MeO-DMT CB2 receptor CNR2 functional assay agonist antagonist|5-MeO-DMT|CB2 receptor (CNR2)
Bufotenin 5-HT2A binding affinity Ki|Bufotenin|5-HT2A
Bufotenin 5-HT2A receptor pharmacology assay|Bufotenin|5-HT2A
Bufotenin 5-HT2A functional assay agonist antagonist|Bufotenin|5-HT2A
Bufotenin 5-HT2B binding affinity Ki|Bufotenin|5-HT2B
Bufotenin 5-HT2B receptor pharmacology assay|Bufotenin|5-HT2B
Bufotenin 5-HT2B functional assay agonist antagonist|Bufotenin|5-HT2B
Bufotenin 5-HT2C binding affinity Ki|Bufotenin|5-HT2C
Bufotenin 5-HT2C receptor pharmacology assay|Bufotenin|5-HT2C
Bufotenin 5-HT2C functional assay agonist antagonist|Bufotenin|5-HT2C
Bufotenin 5-HT1A binding affinity Ki|Bufotenin|5-HT1A
Bufotenin 5-HT1A receptor pharmacology assay|Bufotenin|5-HT1A
Bufotenin 5-HT1A functional assay agonist antagonist|Bufotenin|5-HT1A
Bufotenin 5-HT1B binding affinity Ki|Bufotenin|5-HT1B
Bufotenin 5-HT1B receptor pharmacology assay|Bufotenin|5-HT1B
Bufotenin 5-HT1B functional assay agonist antagonist|Bufotenin|5-HT1B
Bufotenin 5-HT1D binding affinity Ki|Bufotenin|5-HT1D
Bufotenin 5-HT1D receptor pharmacology assay|Bufotenin|5-HT1D
Bufotenin 5-HT1D functional assay agonist antagonist|Bufotenin|5-HT1D
Bufotenin 5-HT1E binding affinity Ki|Bufotenin|5-HT1E
Bufotenin 5-HT1E receptor pharmacology assay|Bufotenin|5-HT1E
Bufotenin 5-HT1E functional assay agonist antagonist|Bufotenin|5-HT1E
Bufotenin 5-HT1F binding affinity Ki|Bufotenin|5-HT1F
Bufotenin 5-HT1F receptor pharmacology assay|Bufotenin|5-HT1F
Bufotenin 5-HT1F functional assay agonist antagonist|Bufotenin|5-HT1F
Bufotenin 5-HT5A binding affinity Ki|Bufotenin|5-HT5A
Bufotenin 5-HT5A receptor pharmacology assay|Bufotenin|5-HT5A
Bufotenin 5-HT5A functional assay agonist antagonist|Bufotenin|5-HT5A
Bufotenin 5-HT6 binding affinity Ki|Bufotenin|5-HT6
Bufotenin 5-HT6 receptor pharmacology assay|Bufotenin|5-HT6
Bufotenin 5-HT6 functional assay agonist antagonist|Bufotenin|5-HT6
Bufotenin 5-HT7 binding affinity Ki|Bufotenin|5-HT7
Bufotenin 5-HT7 receptor pharmacology assay|Bufotenin|5-HT7
Bufotenin 5-HT7 functional assay agonist antagonist|Bufotenin|5-HT7
Bufotenin mGluR2 GRM2 binding affinity Ki|Bufotenin|mGluR2 (GRM2)
Bufotenin mGluR2 GRM2 receptor pharmacology assay|Bufotenin|mGluR2 (GRM2)
Bufotenin mGluR2 GRM2 functional assay agonist antagonist|Bufotenin|mGluR2 (GRM2)
Bufotenin TAAR1 binding affinity Ki|Bufotenin|TAAR1
Bufotenin TAAR1 receptor pharmacology assay|Bufotenin|TAAR1
Bufotenin TAAR1 functional assay agonist antagonist|Bufotenin|TAAR1
Bufotenin SERT SLC6A4 binding affinity Ki|Bufotenin|SERT (SLC6A4)
Bufotenin SERT SLC6A4 receptor pharmacology assay|Bufotenin|SERT (SLC6A4)
Bufotenin SERT SLC6A4 functional assay agonist antagonist|Bufotenin|SERT (SLC6A4)
Bufotenin NET SLC6A2 binding affinity Ki|Bufotenin|NET (SLC6A2)
Bufotenin NET SLC6A2 receptor pharmacology assay|Bufotenin|NET (SLC6A2)
Bufotenin NET SLC6A2 functional assay agonist antagonist|Bufotenin|NET (SLC6A2)
Bufotenin DAT SLC6A3 binding affinity Ki|Bufotenin|DAT (SLC6A3)
Bufotenin DAT SLC6A3 receptor pharmacology assay|Bufotenin|DAT (SLC6A3)
Bufotenin DAT SLC6A3 functional assay agonist antagonist|Bufotenin|DAT (SLC6A3)
Bufotenin VMAT2 SLC18A2 binding affinity Ki|Bufotenin|VMAT2 (SLC18A2)
Bufotenin VMAT2 SLC18A2 receptor pharmacology assay|Bufotenin|VMAT2 (SLC18A2)
Bufotenin VMAT2 SLC18A2 functional assay agonist antagonist|Bufotenin|VMAT2 (SLC18A2)
Bufotenin D1 receptor DRD1 binding affinity Ki|Bufotenin|D1 receptor (DRD1)
Bufotenin D1 receptor DRD1 receptor pharmacology assay|Bufotenin|D1 receptor (DRD1)
Bufotenin D1 receptor DRD1 functional assay agonist antagonist|Bufotenin|D1 receptor (DRD1)
Bufotenin D2 receptor DRD2 binding affinity Ki|Bufotenin|D2 receptor (DRD2)
Bufotenin D2 receptor DRD2 receptor pharmacology assay|Bufotenin|D2 receptor (DRD2)
Bufotenin D2 receptor DRD2 functional assay agonist antagonist|Bufotenin|D2 receptor (DRD2)
Bufotenin D3 receptor DRD3 binding affinity Ki|Bufotenin|D3 receptor (DRD3)
Bufotenin D3 receptor DRD3 receptor pharmacology assay|Bufotenin|D3 receptor (DRD3)
Bufotenin D3 receptor DRD3 functional assay agonist antagonist|Bufotenin|D3 receptor (DRD3)
Bufotenin D4 receptor DRD4 binding affinity Ki|Bufotenin|D4 receptor (DRD4)
Bufotenin D4 receptor DRD4 receptor pharmacology assay|Bufotenin|D4 receptor (DRD4)
Bufotenin D4 receptor DRD4 functional assay agonist antagonist|Bufotenin|D4 receptor (DRD4)
Bufotenin D5 receptor DRD5 binding affinity Ki|Bufotenin|D5 receptor (DRD5)
Bufotenin D5 receptor DRD5 receptor pharmacology assay|Bufotenin|D5 receptor (DRD5)
Bufotenin D5 receptor DRD5 functional assay agonist antagonist|Bufotenin|D5 receptor (DRD5)
Bufotenin Alpha1A adrenergic receptor ADRA1A binding affinity Ki|Bufotenin|Alpha1A adrenergic receptor (ADRA1A)
Bufotenin Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|Bufotenin|Alpha1A adrenergic receptor (ADRA1A)
Bufotenin Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|Bufotenin|Alpha1A adrenergic receptor (ADRA1A)
Bufotenin Alpha1B adrenergic receptor ADRA1B binding affinity Ki|Bufotenin|Alpha1B adrenergic receptor (ADRA1B)
Bufotenin Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|Bufotenin|Alpha1B adrenergic receptor (ADRA1B)
Bufotenin Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|Bufotenin|Alpha1B adrenergic receptor (ADRA1B)
Bufotenin Alpha2A adrenergic receptor ADRA2A binding affinity Ki|Bufotenin|Alpha2A adrenergic receptor (ADRA2A)
Bufotenin Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|Bufotenin|Alpha2A adrenergic receptor (ADRA2A)
Bufotenin Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|Bufotenin|Alpha2A adrenergic receptor (ADRA2A)
Bufotenin Alpha2B adrenergic receptor ADRA2B binding affinity Ki|Bufotenin|Alpha2B adrenergic receptor (ADRA2B)
Bufotenin Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|Bufotenin|Alpha2B adrenergic receptor (ADRA2B)
Bufotenin Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|Bufotenin|Alpha2B adrenergic receptor (ADRA2B)
Bufotenin Alpha2C adrenergic receptor ADRA2C binding affinity Ki|Bufotenin|Alpha2C adrenergic receptor (ADRA2C)
Bufotenin Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|Bufotenin|Alpha2C adrenergic receptor (ADRA2C)
Bufotenin Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|Bufotenin|Alpha2C adrenergic receptor (ADRA2C)
Bufotenin Beta1 adrenergic receptor ADRB1 binding affinity Ki|Bufotenin|Beta1 adrenergic receptor (ADRB1)
Bufotenin Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|Bufotenin|Beta1 adrenergic receptor (ADRB1)
Bufotenin Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|Bufotenin|Beta1 adrenergic receptor (ADRB1)
Bufotenin Beta2 adrenergic receptor ADRB2 binding affinity Ki|Bufotenin|Beta2 adrenergic receptor (ADRB2)
Bufotenin Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|Bufotenin|Beta2 adrenergic receptor (ADRB2)
Bufotenin Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|Bufotenin|Beta2 adrenergic receptor (ADRB2)
Bufotenin M1 muscarinic receptor CHRM1 binding affinity Ki|Bufotenin|M1 muscarinic receptor (CHRM1)
Bufotenin M1 muscarinic receptor CHRM1 receptor pharmacology assay|Bufotenin|M1 muscarinic receptor (CHRM1)
Bufotenin M1 muscarinic receptor CHRM1 functional assay agonist antagonist|Bufotenin|M1 muscarinic receptor (CHRM1)
Bufotenin M2 muscarinic receptor CHRM2 binding affinity Ki|Bufotenin|M2 muscarinic receptor (CHRM2)
Bufotenin M2 muscarinic receptor CHRM2 receptor pharmacology assay|Bufotenin|M2 muscarinic receptor (CHRM2)
Bufotenin M2 muscarinic receptor CHRM2 functional assay agonist antagonist|Bufotenin|M2 muscarinic receptor (CHRM2)
Bufotenin M3 muscarinic receptor CHRM3 binding affinity Ki|Bufotenin|M3 muscarinic receptor (CHRM3)
Bufotenin M3 muscarinic receptor CHRM3 receptor pharmacology assay|Bufotenin|M3 muscarinic receptor (CHRM3)
Bufotenin M3 muscarinic receptor CHRM3 functional assay agonist antagonist|Bufotenin|M3 muscarinic receptor (CHRM3)
Bufotenin M4 muscarinic receptor CHRM4 binding affinity Ki|Bufotenin|M4 muscarinic receptor (CHRM4)
Bufotenin M4 muscarinic receptor CHRM4 receptor pharmacology assay|Bufotenin|M4 muscarinic receptor (CHRM4)
Bufotenin M4 muscarinic receptor CHRM4 functional assay agonist antagonist|Bufotenin|M4 muscarinic receptor (CHRM4)
Bufotenin M5 muscarinic receptor CHRM5 binding affinity Ki|Bufotenin|M5 muscarinic receptor (CHRM5)
Bufotenin M5 muscarinic receptor CHRM5 receptor pharmacology assay|Bufotenin|M5 muscarinic receptor (CHRM5)
Bufotenin M5 muscarinic receptor CHRM5 functional assay agonist antagonist|Bufotenin|M5 muscarinic receptor (CHRM5)
