# query|compound|entity
2C-T-7 receptor transporter target profile|2C-T-7|
2C-T-7 mechanism signaling neuroplasticity pharmacology|2C-T-7|
5-MeO-DiPT pharmacology receptor binding affinity|5-MeO-DiPT|
5-MeO-DiPT receptor transporter target profile|5-MeO-DiPT|
5-MeO-DiPT mechanism signaling neuroplasticity pharmacology|5-MeO-DiPT|
DiPT pharmacology receptor binding affinity|DiPT|
DiPT receptor transporter target profile|DiPT|
DiPT mechanism signaling neuroplasticity pharmacology|DiPT|
DPT pharmacology receptor binding affinity|DPT|
DPT receptor transporter target profile|DPT|
DPT mechanism signaling neuroplasticity pharmacology|DPT|
LSA pharmacology receptor binding affinity|LSA|
LSA receptor transporter target profile|LSA|
LSA mechanism signaling neuroplasticity pharmacology|LSA|
AL-LAD pharmacology receptor binding affinity|AL-LAD|
AL-LAD receptor transporter target profile|AL-LAD|
AL-LAD mechanism signaling neuroplasticity pharmacology|AL-LAD|
ETH-LAD pharmacology receptor binding affinity|ETH-LAD|
ETH-LAD receptor transporter target profile|ETH-LAD|
ETH-LAD mechanism signaling neuroplasticity pharmacology|ETH-LAD|
PRO-LAD pharmacology receptor binding affinity|PRO-LAD|
PRO-LAD receptor transporter target profile|PRO-LAD|
PRO-LAD mechanism signaling neuroplasticity pharmacology|PRO-LAD|
1P-LSD pharmacology receptor binding affinity|1P-LSD|
1P-LSD receptor transporter target profile|1P-LSD|
1P-LSD mechanism signaling neuroplasticity pharmacology|1P-LSD|
Salvinorin A pharmacology receptor binding affinity|Salvinorin A|
Salvinorin A receptor transporter target profile|Salvinorin A|
Salvinorin A mechanism signaling neuroplasticity pharmacology|Salvinorin A|
Lisuride pharmacology receptor binding affinity|Lisuride|
Lisuride receptor transporter target profile|Lisuride|
Lisuride mechanism signaling neuroplasticity pharmacology|Lisuride|
Bromo-DragonFLY pharmacology receptor binding affinity|Bromo-DragonFLY|
Bromo-DragonFLY receptor transporter target profile|Bromo-DragonFLY|
Bromo-DragonFLY mechanism signaling neuroplasticity pharmacology|Bromo-DragonFLY|
25I-NBOMe pharmacology receptor binding affinity|25I-NBOMe|
25I-NBOMe receptor transporter target profile|25I-NBOMe|
25I-NBOMe mechanism signaling neuroplasticity pharmacology|25I-NBOMe|
25B-NBOMe pharmacology receptor binding affinity|25B-NBOMe|
25B-NBOMe receptor transporter target profile|25B-NBOMe|
25B-NBOMe mechanism signaling neuroplasticity pharmacology|25B-NBOMe|
25C-NBOMe pharmacology receptor binding affinity|25C-NBOMe|
25C-NBOMe receptor transporter target profile|25C-NBOMe|
25C-NBOMe mechanism signaling neuroplasticity pharmacology|25C-NBOMe|
TMA pharmacology receptor binding affinity|TMA|
TMA receptor transporter target profile|TMA|
TMA mechanism signaling neuroplasticity pharmacology|TMA|
TMA-2 pharmacology receptor binding affinity|TMA-2|
TMA-2 receptor transporter target profile|TMA-2|
TMA-2 mechanism signaling neuroplasticity pharmacology|TMA-2|
psychedelic 5-HT2A pharmacology binding affinity||5-HT2A
hallucinogen 5-HT2A receptor transporter assay||5-HT2A
5-HT2A serotonergic psychedelic binding assay||5-HT2A
psychedelic 5-HT2B pharmacology binding affinity||5-HT2B
hallucinogen 5-HT2B receptor transporter assay||5-HT2B
5-HT2B serotonergic psychedelic binding assay||5-HT2B
psychedelic 5-HT2C pharmacology binding affinity||5-HT2C
hallucinogen 5-HT2C receptor transporter assay||5-HT2C
5-HT2C serotonergic psychedelic binding assay||5-HT2C
psychedelic 5-HT1A pharmacology binding affinity||5-HT1A
hallucinogen 5-HT1A receptor transporter assay||5-HT1A
5-HT1A serotonergic psychedelic binding assay||5-HT1A
psychedelic 5-HT1B pharmacology binding affinity||5-HT1B
hallucinogen 5-HT1B receptor transporter assay||5-HT1B
5-HT1B serotonergic psychedelic binding assay||5-HT1B
psychedelic 5-HT1D pharmacology binding affinity||5-HT1D
hallucinogen 5-HT1D receptor transporter assay||5-HT1D
5-HT1D serotonergic psychedelic binding assay||5-HT1D
psychedelic 5-HT1E pharmacology binding affinity||5-HT1E
hallucinogen 5-HT1E receptor transporter assay||5-HT1E
5-HT1E serotonergic psychedelic binding assay||5-HT1E
psychedelic 5-HT1F pharmacology binding affinity||5-HT1F
hallucinogen 5-HT1F receptor transporter assay||5-HT1F
5-HT1F serotonergic psychedelic binding assay||5-HT1F
psychedelic 5-HT5A pharmacology binding affinity||5-HT5A
hallucinogen 5-HT5A receptor transporter assay||5-HT5A
5-HT5A serotonergic psychedelic binding assay||5-HT5A
psychedelic 5-HT6 pharmacology binding affinity||5-HT6
hallucinogen 5-HT6 receptor transporter assay||5-HT6
5-HT6 serotonergic psychedelic binding assay||5-HT6
psychedelic 5-HT7 pharmacology binding affinity||5-HT7
hallucinogen 5-HT7 receptor transporter assay||5-HT7
5-HT7 serotonergic psychedelic binding assay||5-HT7
psychedelic mGluR2 GRM2 pharmacology binding affinity||mGluR2 (GRM2)
hallucinogen mGluR2 GRM2 receptor transporter assay||mGluR2 (GRM2)
mGluR2 GRM2 serotonergic psychedelic binding assay||mGluR2 (GRM2)
psychedelic TAAR1 pharmacology binding affinity||TAAR1
hallucinogen TAAR1 receptor transporter assay||TAAR1
TAAR1 serotonergic psychedelic binding assay||TAAR1
psychedelic SERT SLC6A4 pharmacology binding affinity||SERT (SLC6A4)
hallucinogen SERT SLC6A4 receptor transporter assay||SERT (SLC6A4)
SERT SLC6A4 serotonergic psychedelic binding assay||SERT (SLC6A4)
psychedelic NET SLC6A2 pharmacology binding affinity||NET (SLC6A2)
hallucinogen NET SLC6A2 receptor transporter assay||NET (SLC6A2)
NET SLC6A2 serotonergic psychedelic binding assay||NET (SLC6A2)
psychedelic DAT SLC6A3 pharmacology binding affinity||DAT (SLC6A3)
hallucinogen DAT SLC6A3 receptor transporter assay||DAT (SLC6A3)
DAT SLC6A3 serotonergic psychedelic binding assay||DAT (SLC6A3)
psychedelic VMAT2 SLC18A2 pharmacology binding affinity||VMAT2 (SLC18A2)
hallucinogen VMAT2 SLC18A2 receptor transporter assay||VMAT2 (SLC18A2)
VMAT2 SLC18A2 serotonergic psychedelic binding assay||VMAT2 (SLC18A2)
psychedelic D1 receptor DRD1 pharmacology binding affinity||D1 receptor (DRD1)
hallucinogen D1 receptor DRD1 receptor transporter assay||D1 receptor (DRD1)
D1 receptor DRD1 serotonergic psychedelic binding assay||D1 receptor (DRD1)
psychedelic D2 receptor DRD2 pharmacology binding affinity||D2 receptor (DRD2)
hallucinogen D2 receptor DRD2 receptor transporter assay||D2 receptor (DRD2)
D2 receptor DRD2 serotonergic psychedelic binding assay||D2 receptor (DRD2)
psychedelic D3 receptor DRD3 pharmacology binding affinity||D3 receptor (DRD3)
hallucinogen D3 receptor DRD3 receptor transporter assay||D3 receptor (DRD3)
D3 receptor DRD3 serotonergic psychedelic binding assay||D3 receptor (DRD3)
psychedelic D4 receptor DRD4 pharmacology binding affinity||D4 receptor (DRD4)
hallucinogen D4 receptor DRD4 receptor transporter assay||D4 receptor (DRD4)
D4 receptor DRD4 serotonergic psychedelic binding assay||D4 receptor (DRD4)
psychedelic D5 receptor DRD5 pharmacology binding affinity||D5 receptor (DRD5)
hallucinogen D5 receptor DRD5 receptor transporter assay||D5 receptor (DRD5)
D5 receptor DRD5 serotonergic psychedelic binding assay||D5 receptor (DRD5)
psychedelic Alpha1A adrenergic receptor ADRA1A pharmacology binding affinity||Alpha1A adrenergic receptor (ADRA1A)
hallucinogen Alpha1A adrenergic receptor ADRA1A receptor transporter assay||Alpha1A adrenergic receptor (ADRA1A)
Alpha1A adrenergic receptor ADRA1A serotonergic psychedelic binding assay||Alpha1A adrenergic receptor (ADRA1A)
psychedelic Alpha1B adrenergic receptor ADRA1B pharmacology binding affinity||Alpha1B adrenergic receptor (ADRA1B)
hallucinogen Alpha1B adrenergic receptor ADRA1B receptor transporter assay||Alpha1B adrenergic receptor (ADRA1B)
Alpha1B adrenergic receptor ADRA1B serotonergic psychedelic binding assay||Alpha1B adrenergic receptor (ADRA1B)
psychedelic Alpha2A adrenergic receptor ADRA2A pharmacology binding affinity||Alpha2A adrenergic receptor (ADRA2A)
hallucinogen Alpha2A adrenergic receptor ADRA2A receptor transporter assay||Alpha2A adrenergic receptor (ADRA2A)
Alpha2A adrenergic receptor ADRA2A serotonergic psychedelic binding assay||Alpha2A adrenergic receptor (ADRA2A)
psychedelic Alpha2B adrenergic receptor ADRA2B pharmacology binding affinity||Alpha2B adrenergic receptor (ADRA2B)
hallucinogen Alpha2B adrenergic receptor ADRA2B receptor transporter assay||Alpha2B adrenergic receptor (ADRA2B)
Alpha2B adrenergic receptor ADRA2B serotonergic psychedelic binding assay||Alpha2B adrenergic receptor (ADRA2B)
psychedelic Alpha2C adrenergic receptor ADRA2C pharmacology binding affinity||Alpha2C adrenergic receptor (ADRA2C)
hallucinogen Alpha2C adrenergic receptor ADRA2C receptor transporter assay||Alpha2C adrenergic receptor (ADRA2C)
Alpha2C adrenergic receptor ADRA2C serotonergic psychedelic binding assay||Alpha2C adrenergic receptor (ADRA2C)
psychedelic Beta1 adrenergic receptor ADRB1 pharmacology binding affinity||Beta1 adrenergic receptor (ADRB1)
hallucinogen Beta1 adrenergic receptor ADRB1 receptor transporter assay||Beta1 adrenergic receptor (ADRB1)
Beta1 adrenergic receptor ADRB1 serotonergic psychedelic binding assay||Beta1 adrenergic receptor (ADRB1)
psychedelic Beta2 adrenergic receptor ADRB2 pharmacology binding affinity||Beta2 adrenergic receptor (ADRB2)
hallucinogen Beta2 adrenergic receptor ADRB2 receptor transporter assay||Beta2 adrenergic receptor (ADRB2)
Beta2 adrenergic receptor ADRB2 serotonergic psychedelic binding assay||Beta2 adrenergic receptor (ADRB2)
psychedelic M1 muscarinic receptor CHRM1 pharmacology binding affinity||M1 muscarinic receptor (CHRM1)
hallucinogen M1 muscarinic receptor CHRM1 receptor transporter assay||M1 muscarinic receptor (CHRM1)
M1 muscarinic receptor CHRM1 serotonergic psychedelic binding assay||M1 muscarinic receptor (CHRM1)
psychedelic M2 muscarinic receptor CHRM2 pharmacology binding affinity||M2 muscarinic receptor (CHRM2)
hallucinogen M2 muscarinic receptor CHRM2 receptor transporter assay||M2 muscarinic receptor (CHRM2)
M2 muscarinic receptor CHRM2 serotonergic psychedelic binding assay||M2 muscarinic receptor (CHRM2)
psychedelic M3 muscarinic receptor CHRM3 pharmacology binding affinity||M3 muscarinic receptor (CHRM3)
hallucinogen M3 muscarinic receptor CHRM3 receptor transporter assay||M3 muscarinic receptor (CHRM3)
M3 muscarinic receptor CHRM3 serotonergic psychedelic binding assay||M3 muscarinic receptor (CHRM3)
psychedelic M4 muscarinic receptor CHRM4 pharmacology binding affinity||M4 muscarinic receptor (CHRM4)
hallucinogen M4 muscarinic receptor CHRM4 receptor transporter assay||M4 muscarinic receptor (CHRM4)
M4 muscarinic receptor CHRM4 serotonergic psychedelic binding assay||M4 muscarinic receptor (CHRM4)
psychedelic M5 muscarinic receptor CHRM5 pharmacology binding affinity||M5 muscarinic receptor (CHRM5)
hallucinogen M5 muscarinic receptor CHRM5 receptor transporter assay||M5 muscarinic receptor (CHRM5)
M5 muscarinic receptor CHRM5 serotonergic psychedelic binding assay||M5 muscarinic receptor (CHRM5)
psychedelic H1 receptor HRH1 pharmacology binding affinity||H1 receptor (HRH1)
hallucinogen H1 receptor HRH1 receptor transporter assay||H1 receptor (HRH1)
H1 receptor HRH1 serotonergic psychedelic binding assay||H1 receptor (HRH1)
psychedelic H2 receptor HRH2 pharmacology binding affinity||H2 receptor (HRH2)
hallucinogen H2 receptor HRH2 receptor transporter assay||H2 receptor (HRH2)
H2 receptor HRH2 serotonergic psychedelic binding assay||H2 receptor (HRH2)
psychedelic Sigma-1 receptor SIGMAR1 pharmacology binding affinity||Sigma-1 receptor (SIGMAR1)
hallucinogen Sigma-1 receptor SIGMAR1 receptor transporter assay||Sigma-1 receptor (SIGMAR1)
Sigma-1 receptor SIGMAR1 serotonergic psychedelic binding assay||Sigma-1 receptor (SIGMAR1)
psychedelic Sigma-2 receptor TMEM97 pharmacology binding affinity||Sigma-2 receptor (TMEM97)
hallucinogen Sigma-2 receptor TMEM97 receptor transporter assay||Sigma-2 receptor (TMEM97)
Sigma-2 receptor TMEM97 serotonergic psychedelic binding assay||Sigma-2 receptor (TMEM97)
psychedelic kappa opioid receptor OPRK1 pharmacology binding affinity||kappa opioid receptor (OPRK1)
hallucinogen kappa opioid receptor OPRK1 receptor transporter assay||kappa opioid receptor (OPRK1)
kappa opioid receptor OPRK1 serotonergic psychedelic binding assay||kappa opioid receptor (OPRK1)
psychedelic mu opioid receptor OPRM1 pharmacology binding affinity||mu opioid receptor (OPRM1)
hallucinogen mu opioid receptor OPRM1 receptor transporter assay||mu opioid receptor (OPRM1)
mu opioid receptor OPRM1 serotonergic psychedelic binding assay||mu opioid receptor (OPRM1)
psychedelic delta opioid receptor OPRD1 pharmacology binding affinity||delta opioid receptor (OPRD1)
hallucinogen delta opioid receptor OPRD1 receptor transporter assay||delta opioid receptor (OPRD1)
delta opioid receptor OPRD1 serotonergic psychedelic binding assay||delta opioid receptor (OPRD1)
psychedelic NMDA receptor pharmacology binding affinity||NMDA receptor
hallucinogen NMDA receptor transporter assay||NMDA receptor
NMDA receptor serotonergic psychedelic binding assay||NMDA receptor
psychedelic AMPA receptor pharmacology binding affinity||AMPA receptor
hallucinogen AMPA receptor transporter assay||AMPA receptor
AMPA receptor serotonergic psychedelic binding assay||AMPA receptor
psychedelic TrkB NTRK2 pharmacology binding affinity||TrkB (NTRK2)
hallucinogen TrkB NTRK2 receptor transporter assay||TrkB (NTRK2)
TrkB NTRK2 serotonergic psychedelic binding assay||TrkB (NTRK2)
psychedelic CB1 receptor CNR1 pharmacology binding affinity||CB1 receptor (CNR1)
hallucinogen CB1 receptor CNR1 receptor transporter assay||CB1 receptor (CNR1)
CB1 receptor CNR1 serotonergic psychedelic binding assay||CB1 receptor (CNR1)
psychedelic CB2 receptor CNR2 pharmacology binding affinity||CB2 receptor (CNR2)
hallucinogen CB2 receptor CNR2 receptor transporter assay||CB2 receptor (CNR2)
CB2 receptor CNR2 serotonergic psychedelic binding assay||CB2 receptor (CNR2)
LSD 5-HT2A binding affinity Ki|LSD|5-HT2A
LSD 5-HT2A receptor pharmacology assay|LSD|5-HT2A
LSD 5-HT2A functional assay agonist antagonist|LSD|5-HT2A
LSD 5-HT2B binding affinity Ki|LSD|5-HT2B
LSD 5-HT2B receptor pharmacology assay|LSD|5-HT2B
LSD 5-HT2B functional assay agonist antagonist|LSD|5-HT2B
LSD 5-HT2C binding affinity Ki|LSD|5-HT2C
LSD 5-HT2C receptor pharmacology assay|LSD|5-HT2C
LSD 5-HT2C functional assay agonist antagonist|LSD|5-HT2C
LSD 5-HT1A binding affinity Ki|LSD|5-HT1A
LSD 5-HT1A receptor pharmacology assay|LSD|5-HT1A
LSD 5-HT1A functional assay agonist antagonist|LSD|5-HT1A
LSD 5-HT1B binding affinity Ki|LSD|5-HT1B
LSD 5-HT1B receptor pharmacology assay|LSD|5-HT1B
LSD 5-HT1B functional assay agonist antagonist|LSD|5-HT1B
LSD 5-HT1D binding affinity Ki|LSD|5-HT1D
LSD 5-HT1D receptor pharmacology assay|LSD|5-HT1D
LSD 5-HT1D functional assay agonist antagonist|LSD|5-HT1D
LSD 5-HT1E binding affinity Ki|LSD|5-HT1E
LSD 5-HT1E receptor pharmacology assay|LSD|5-HT1E
LSD 5-HT1E functional assay agonist antagonist|LSD|5-HT1E
LSD 5-HT1F binding affinity Ki|LSD|5-HT1F
LSD 5-HT1F receptor pharmacology assay|LSD|5-HT1F
LSD 5-HT1F functional assay agonist antagonist|LSD|5-HT1F
LSD 5-HT5A binding affinity Ki|LSD|5-HT5A
LSD 5-HT5A receptor pharmacology assay|LSD|5-HT5A
LSD 5-HT5A functional assay agonist antagonist|LSD|5-HT5A
LSD 5-HT6 binding affinity Ki|LSD|5-HT6
LSD 5-HT6 receptor pharmacology assay|LSD|5-HT6
LSD 5-HT6 functional assay agonist antagonist|LSD|5-HT6
LSD 5-HT7 binding affinity Ki|LSD|5-HT7
LSD 5-HT7 receptor pharmacology assay|LSD|5-HT7
LSD 5-HT7 functional assay agonist antagonist|LSD|5-HT7
LSD mGluR2 GRM2 binding affinity Ki|LSD|mGluR2 (GRM2)
LSD mGluR2 GRM2 receptor pharmacology assay|LSD|mGluR2 (GRM2)
LSD mGluR2 GRM2 functional assay agonist antagonist|LSD|mGluR2 (GRM2)
LSD TAAR1 binding affinity Ki|LSD|TAAR1
LSD TAAR1 receptor pharmacology assay|LSD|TAAR1
LSD TAAR1 functional assay agonist antagonist|LSD|TAAR1
