line_no,doi,compound,entity,title,year,authors,existing_sources
689,10.1007/164_2017_51,,,Ketamine-Induced Glutamatergic Mechanisms of Sleep and Wakefulness: Insights for Developing Novel Treatments for Disturbed Sleep and Mood,2017,Wallace C. Duncan; Elizabeth D. Ballard; Carlos A. Zarate,candidate_paper_corpus | disorder:paper_library
692,10.3389/fnhum.2017.00245,,,"Looking for the Self: Phenomenology, Neurophysiology and Philosophical Significance of Drug-induced Ego Dissolution",2017,Raphaël Millière,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
693,10.1038/npp.2017.86,,,Modern Clinical Research on LSD,2017,Matthias E. Liechti,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
695,10.1016/j.neuropharm.2017.11.045,,,"NMDA receptor antagonist rodent models for cognition in schizophrenia and identification of novel drug treatments, an update",2017,Daniela Cadinu; Ben Grayson; Giovanni Podda; Michael Harte; Nazanin Doostdar; Joanna C. Neill,candidate_paper_corpus | mechanistic:paper_library
696,10.1007/s12640-017-9831-9,,,Neurochemical and Neurotoxic Effects of MDMA (Ecstasy) and Caffeine After Chronic Combined Administration in Mice,2017,Anna Górska; Katarzyna Kamińska; Agnieszka Wawrzczak‐Bargieła; Giulia Costa; Micaela Morelli; Ryszard Przewłocki; Grzegorz Kreiner; Krystyna Gołembiowska,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
699,10.1155/2017/4605971,,,New Treatment Strategies of Depression: Based on Mechanisms Related to Neuroplasticity,2017,Yu-Jhen Huang; Hsien‐Yuan Lane; Chieh‐Hsin Lin,candidate_paper_corpus | disorder:paper_library
700,10.1007/s00228-017-2392-2,,,No major role of norepinephrine transporter gene variations in the cardiostimulant effects of MDMA,2017,Patrick Vizeli; Henriette E. Meyer zu Schwabedissen; Matthias E. Liechti,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
701,10.26434/chemrxiv.5728286.v1,,,O6C-20-nor-SalA is a stable and potent KOR agonist,2017,Ryan A. Shenvi; Shun Hirasawa; Min Cho; Tarsis F. Brust; Jeremy J. Roach; Larua M. Bohn,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
703,10.1124/mol.117.109561,,,Pharmacologic Evidence for a Putative Conserved Allosteric Site on Opioid Receptors,2017,Kathryn E. Livingston; M. Alexander Stanczyk; Neil T. Burford; Andrew Alt; Meritxell Canals; John R. Traynor,candidate_paper_corpus | mechanistic:paper_library
704,10.1016/j.neuropharm.2017.07.026,,,Pharmacological profile of mephedrone analogs and related new psychoactive substances,2017,Dino Luethi; Karolina E. Kolaczynska; Luca Docci; Stephan Krähenbühl; Marius C. Hoener; Matthias E. Liechti,candidate_paper_corpus | mechanistic:paper_library
707,10.1007/s12640-017-9761-6,,,"Progression and Persistence of Neurotoxicity Induced by MDMA in Dopaminergic Regions of the Mouse Brain and Association with Noradrenergic, GABAergic, and Serotonergic Damage",2017,Giulia Costa; Micaela Morelli; Nicola Simola,candidate_paper_corpus | mechanistic:paper_library
708,10.1007/s00213-017-4771-x,,,Psilocybin with psychological support for treatment-resistant depression: six-month follow-up,2017,Robin Carhart‐Harris; Mark Bolstridge; Camilla Day; James Rucker; R. Watts; David Erritzøe; Mendel Kaelen; Bruna Giribaldi; Michael Bloomfield; Stephen Pilling,benchmark_manifest | candidate_paper_corpus | disorder:curated | disorder:paper_library
709,10.1007/978-3-319-49795-2_4,,,Rapid Antidepressant Activity of Ketamine Beyond NMDA Receptor,2017,Kenji Hashimoto,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
711,10.1186/s12929-017-0380-6,,,Roles of sigma-1 receptors on mitochondrial functions relevant to neurodegenerative diseases,2017,Tzu-Yu Weng; Shang‐Yi Tsai; Tsung‐Ping Su,candidate_paper_corpus | mechanistic:paper_library
713,10.1002/ejp.1120,,,Salvinorin A reduces neuropathic nociception in the insular cortex of the rat,2017,Ulises Coffeen; Ana Canseco-Alba; Karina Simón‐Arceo; Aida Almanza; Francisco Mercado; Martha León‐Olea; Francisco Pellicer,candidate_paper_corpus | mechanistic:paper_library
