# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1038/s41598-020-73216-8,Salvinorin A,kappa opioid receptor (OPRK1),The Acute Effects of the Atypical Dissociative Hallucinogen Salvinorin A on Functional Connectivity in the Human Brain,2020,Manoj K. Doss; Darrick G. May; Matthew W. Johnson; John M. Clifton; Sidnee L. Hedrick; Thomas E. Prisinzano; Roland R. Griffiths; Frederick S. Barrett
10.1038/s41598-021-81552-6,DMT,5-HT2A,Behavioral arrest and a characteristic slow waveform are hallmark responses to selective 5-HT2A receptor activation,2021,April Contreras; Matthew Khumnark; Rochelle M. Hines; Dustin J. Hines
10.1038/s41598-021-96736-3,LSD,5-HT2A,LSD-stimulated behaviors in mice require β-arrestin 2 but not β-arrestin 1,2021,Ramona M. Rodriguiz; Vineet Nadkarni; Christopher R. Means; Vladimir M. Pogorelov; Yi-Ting Chiu; Bryan L. Roth; William C. Wetsel
10.1038/s41598-025-03383-z,Psilocybin,5-HT2A,Psilocybin mitigates behavioral despair and cognitive impairment in treatment-resistant depression model using wistar kyoto rats.,2025,Wang Z; Robbins B; Zhuang R; van Bruggen R; Sandini T; Li XM; Zhang Y
10.1038/s41598-025-22620-z,5-MeO-DMT,5-HT1A,Mapping the phenomenology of intranasal 5-MeO-DMT in psychedelic-naïve healthy adults,2025,Anna O. Ermakova; Fiona Dunbar; Mathieu Seynaeve; Raphaël Millière
10.1038/s41598-025-91400-6,5-MeO-DMT,5-HT1A,"Cardiac effects of two hallucinogenic natural products, N,N-dimethyl-tryptamine and 5-methoxy-N,N-dimethyl-tryptamine",2025,Joachim Neumann; Tobias Dietrich; Karyna Azatsian; Britt Hofmann; Ulrich Gergs
10.1038/s42004-026-01936-5,Psilocin,5-HT2A,Binding pose depth modulates photoswitchable ligands’ efficacy at the 5-HT2A receptor,2026,Verena Weber; Giacomo Salvadori; Federico Natale; Hubert Gerwe; Michael Decker; Paolo Carloni; Giulia Rossetti
10.1038/sj.bjp.0702344,DOI,5-HT2A,Electrophysiological examination of the effects of sustained flibanserin administration on serotonin receptors in rat brain,1999,Lynne E Rueter; Pierre Blier
10.1038/sj.bjp.0702679,Ketamine,NMDA receptor,Protection by imidazol(ine) drugs and agmatine of glutamate‐induced neurotoxicity in cultured cerebellar granule cells through blockade of NMDA receptor,1999,Gabriel Olmos; Nuria DeGregorio‐Rocasolano; M Paz Regalado; Teresa Gasull; M Assumpció Boronat; Ramón Trullas; Alvaro Villarroel; Juan Lerma; Jesús A García‐Sevilla
10.1038/sj.bjp.0702822,DOI,5-HT2A,Evidence for a role for central 5‐HT<sub>2B</sub> as well as 5‐HT<sub>2A</sub> receptors in cardiovascular regulation in anaesthetized rats,1999,Ian D Knowles; Andrew G Ramage
