# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1016/j.clpt.2003.11.207,,Alpha2C adrenergic receptor (ADRA2C),Alpha-2C adrenergic receptor (ADRA2C) 322-325 deletion polymorphism and in vivo vascular sensitivity,2004,M Muszkat
10.1016/j.cub.2018.07.083,LSD,5-HT2A,Whole-Brain Multimodal Neuroimaging Model Using Serotonin Receptor Maps Explains Non-linear Functional Effects of LSD,2018,Gustavo Deco; Josephine Cruzat; Joana Cabral; Gitte M. Knudsen; Robin L. Carhart-Harris; Peter C. Whybrow; Nikos K. Logothetis; Morten L. Kringelbach
10.1016/j.cub.2025.11.031,Psilocybin,5-HT2A,Psilocybin induces sex- and context-specific recruitment of the stress axis,2025,Sarah Gibson Cook; Stephanie Lee; Emma Ference; Yuecheng Shi; Dinara Baimoukhametova; Mijail Rojas-Carvajal; Rene Hen; Jaideep S. Bains; Gergely F. Turi; Tamás Füzesi
10.1016/j.dmd.2025.100086,2C-B,5-HT2A,"Liquid chromatography–tandem mass spectrometry–based pharmacokinetic and metabolic analysis of 4-bromo-2,5-dimethoxyphenethylamine and its metabolites in human plasma",2025,Jan Thomann; Deborah Rudin; Selina Kraus; Denis Arikci; Friederike Holze; Matthias E. Liechti; Dino Luethi
10.1016/j.ejmech.2014.07.077,Salvinorin A,kappa opioid receptor (OPRK1),Michael acceptor approach to the design of new salvinorin A-based high affinity ligands for the kappa-opioid receptor,2014,Prabhakar R. Polepally; Krzysztof Huben; Eyal Vardy; Vincent Setola; Philip D. Mosier; Bryan L. Roth; Jordan K. Zjawiony
10.1016/j.neulet.2012.12.053,LSD,5-HT2A,Chronic treatment with LY341495 decreases 5-HT2A receptor binding and hallucinogenic effects of LSD in mice,2013,José L. Moreno; Terrell Holloway; Vinayak Rayannavar; Stuart C. Sealfon; Javier González-Maeso
10.1016/j.neuron.2024.07.003,,D1 receptor (DRD1),Structural basis of psychedelic LSD recognition at dopamine D1 receptor,2024,Luyu Fan; Youwen Zhuang; Hongyu Wu; Huiqiong Li; Youwei Xu; Yue Wang; Licong He; Shishan Wang; Zhangcheng Chen; Jianjun Cheng
10.1016/j.neuropharm.2011.04.001,5-MeO-DMT,5-HT1A,"Enhanced effects of amphetamine but reduced effects of the hallucinogen, 5-MeO-DMT, on locomotor activity in 5-HT1A receptor knockout mice: Implications for schizophrenia",2011,Maarten van den Buuse; Emma Ruimschotel; Sally Martin; Victoria B. Risbrough; Adam L. Halberstadt
10.1016/j.neuropharm.2011.04.007,MDMA,SERT (SLC6A4),Differential effects of cocaine and MDMA self-administration on cortical serotonin transporter availability in monkeys,2011,Robert W. Gould; H. Donald Gage; Matthew L. Banks; Brandi L. Blaylock; Paul W. Czoty; Michael A. Nader
10.1016/j.neuropharm.2013.01.007,LSD,5-HT2A,"Support for 5-HT2C receptor functional selectivity in vivo utilizing structurally diverse, selective 5-HT2C receptor ligands and the 2,5-dimethoxy-4-iodoamphetamine elicited head-twitch response model",2013,Clinton E. Canal; Raymond G. Booth; Drake Morgan
10.1016/j.neuropharm.2014.07.016,Salvinorin A,kappa opioid receptor (OPRK1),Salvinorin A regulates dopamine transporter function via a kappa opioid receptor and ERK1/2-dependent mechanism,2014,Bronwyn Kivell; Zeljko Uzelac; Santhanalakshmi Sundaramurthy; Jeyaganesh Rajamanickam; Amy Ewald; Vladimir Chefer; Vanaja Jaligam; Elizabeth Bolan; Bridget Simonson; Balasubramaniam Annamalai
