# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1097/FBP.0000000000000628,Psilocybin,5-HT2A,"Effects of 5-HT2A receptor agonist 2,5-dimethoxy-4-iodoamphetamine on alcohol consumption in Long–Evans rats",2021,Michael D. Berquist; William E. Fantegrossi
10.1097/FBP.0b013e328337bde7,LSD,5-HT2C,Acquisition session length modulates consolidation effects produced by 5-HT2C ligands in a mouse autoshaping-operant procedure,2010,Ellen A. Walker; John J. Foley
10.1097/aln.0000000000000076,Salvinorin A,kappa opioid receptor (OPRK1),Novel Molecular Targets of Dezocine and Their Clinical Implications,2013,Renyu Liu; Xi-Ping Huang; Alexei Yeliseev; Jin Xi; Bryan L. Roth
10.1097/aln.0000000000000243,Psilocybin,5-HT2A,"Psychedelics, Glutamate, and Neuroimaging Studies",2014,Rafael G. dos Santos
10.1101/2020.05.13.093732,Psilocin,5-HT2A,A mechanistic model of the neural entropy increase elicited by psychedelic drugs,2020,Rubén Herzog; Pedro A.M. Mediano; Fernando E. Rosas; Robin Carhart-Harris; Yonatan Sanz Perl; Enzo Tagliazucchi; Rodrigo Cofre
10.1101/2020.07.14.202325,Noribogaine,,A tropane-based ibogaine analog rescues folding-deficient SERT and DAT,2020,Shreyas Bhat; Daryl A. Guthrie; Ameya Kasture; Ali El-Kasaby; Jianjing Cao; Alessandro Bonifazi; Therese Ku; JoLynn B. Giancola; Thomas Hummel; Michael Freissmuth
10.1101/2021.02.03.429325,Psilocybin,5-HT2A,Psilocybin-induced changes in brain network integrity and segregation correlate with plasma psilocin level and psychedelic experience,2021,Martin K. Madsen; Dea S. Stenbæk; Albin Arvidsson; Sophia Armand; Maja R. Marstrand-Joergensen; Sys S. Johansen; Kristian Linnet; Brice Ozenne; Gitte M. Knudsen; Patrick M. Fisher
10.1101/2021.07.22.453441,Ibogaine,kappa opioid receptor (OPRK1),Novel Class of Psychedelic Iboga Alkaloids Disrupts Opioid Use,2021,Václav Havel; Andrew C. Kruegel; Benjamin Bechand; Scot McIntosh; Leia Stallings; Alana Hodges; Madalee G. Wulf; Mel Nelson; Amanda Hunkele; Michael Ansonoff
10.1101/2022.01.12.476071,MDA,CB1 receptor (CNR1),The Mechanisms of GPR55 Receptor Functonal Selectivity,2022,Mikhail G. Akimov; Natalia M. Gretskaya; Polina V. Dudina; Galina D. Sherstyanykh; Galina N. Zinchenko; Oksana V. Serova; Ksenia O. Degtyaryova; Igor E. Deyev; Vladimir V. Bezuglov
10.1101/2022.06.13.495991,Ibogaine,5-HT1A,Structure-based Discovery of Conformationally Selective Inhibitors of the Serotonin Transporter,2022,Isha Singh; Anubha Seth; Christian B. Billesbølle; Joao Braz; Ramona M. Rodriguiz; Kasturi Roy; Bethlehem Bekele; Veronica Craik; Xi-Ping Huang; Danila Boytsov
10.1101/2022.08.11.503588,Ibogaine,NMDA receptor,A mechanism of uncompetitive inhibition of the serotonin transporter,2022,Shreyas Bhat; Ali El-Kasaby; Ameya Kasture; Danila Boytsov; Julian B. Reichelt; Thomas Hummel; Sonja Sucic; Christian Pifl; Michael Freissmuth; Walter Sandtner
10.1101/2022.11.15.516655,Psilocin,5-HT2A,"Psychedelic compounds directly excite 5-HT
                  <sub>2A</sub>
                  Layer 5 Pyramidal Neurons in the Prefrontal Cortex through a 5-HT
                  <sub>2A</sub>
                  Gq -mediated activation mechanism",2022,Gavin P. Schmitz; Yi-Ting Chiu; Gabriele M. König; Evi Kostenis; Bryan L. Roth; Melissa A. Herman
10.1101/2023.09.23.559145,LSD,5-HT2A,Psychedelic 5-HT2A receptor agonism: neuronal signatures and altered neurovascular coupling.,2023,Jonah A. Padawer-Curry; Oliver J. Krentzman; Chao-Cheng Kuo; Xiaodan Wang; Annie R. Bice; Ginger E. Nicol; Abraham Z. Snyder; Joshua S. Siegel; Jordan G. McCall; Adam Q. Bauer
10.1101/2023.12.12.571374,Psilocin,5-HT2A,Psilocybin prevents activity-based anorexia in female rats by enhancing cognitive flexibility: contributions from 5-HT1A and 5-HT2A receptor mechanisms,2023,K Conn; LK Milton; K Huang; H Munguba; J Ruuska; MB Lemus; E Greaves; J Homman-Ludiye; BJ Oldfield; CJ Foldi
10.1101/2024.04.12.589282,5-MeO-DMT,5-HT1A,A dual-receptor model of serotonergic psychedelics,2024,Arthur Juliani; Veronica Chelu; Laura Graesser; Adam Safron
10.1101/2024.05.21.595211,DOI,5-HT2A,Activity of prefrontal cortex serotonin 2A receptor expressing neurons is necessary for the head-twitch response of mice to psychedelic drug DOI in a sex-dependent manner,2024,Annika B. Ozols; Jing Wei; Janet M. Campbell; Chengcheng Hu; Shenfeng Qiu; Amelia L. Gallitano
10.1101/2024.08.28.610032,Mescaline,5-HT2A,"Behavioral pharmacology of mescaline - the role of serotonin 5-HT2A, 5-HT2B, 5-HT2C and 5-HT1A receptors",2024,Lucie Olejníková-Ladislavová; Michaela Fujáková-Lipski; Klára Šíchová; Hynek Danda; Kateřina Syrová; Jiří Horáček; Tomáš Páleníček; Tomáš Páleníček
10.1101/2024.10.11.617861,LSD,5-HT2A,"Snapshot of 5-HT
                  <sub>2A</sub>
                  receptor activation in the mouse brain via IP
                  <sub>1</sub>
                  detection",2024,Mario de la Fuente Revenga; Javier González-Maeso
10.1101/2024.10.18.619152,Ketamine,NMDA receptor,"Rapid Hippocampal Synaptic Potentiation Induced by Ketamine Metabolite (
                  <i>2R</i>
                  ,
                  <i>6R</i>
                  )-Hydroxynorketamine Persistently Primes Synaptic Plasticity",2024,Kyle A. Brown; Musa I. Ajibola; Todd D. Gould
10.1101/2024.10.22.619393,LSD,5-HT2A,The forgotten psychedelic: Spatiotemporal mapping of brain organisation following the administration of 2C-B and psilocybin,2024,Pablo Mallaroni; Parker Singleton; Natasha L Mason; Theodore D Satterthwaite; Johannes Gerardus Ramaekers
10.1101/2025.02.13.638096,LSD,mGluR2 (GRM2),"Nitrous oxide modulates cortical activity, wake–sleep oscillations, and produces antidepressant-like effects in mice",2025,Samuel Kohtala; Puja K Parekh; Iman Baramaki; Piia Kohtala; Liisa Ilkka; Hanna Antila; Francis S. Lee; Conor Liston
10.1101/748665,LSD,TAAR1,Mesocorticolimbic circuit mechanisms underlying the effects of ketamine on dopamine: a translational imaging study,2019,Michelle Kokkinou; Elaine E. Irvine; David R. Bonsall; Sridhar Natesan; Lisa A. Wells; Mark Smith; Justyna Glegola; Eleanor J. Paul; Kyoko Tossell; Mattia Veronese
10.1111/cns.12099,Ketamine,NMDA receptor,"Ketamine Pharmacology: An Update (<i>Pharmacodynamics and Molecular Aspects, Recent Findings</i>)",2013,Georges Mion; Thierry Villevieille
10.1111/ejn.16558,Psilocybin,5-HT2A,Psilocybin reduces functional correlation and the encoding of spatial information by neurons in mouse retrosplenial cortex,2024,Victorita E. Ivan; David P. Tomàs‐Cuesta; Ingrid M. Esteves; Artur Luczak; Majid Mohajerani; Bruce L. McNaughton; Aaron J. Gruber
10.1111/ejn.70338,LSD,5-HT2A,Knocking at the Doors of Perception: Relating LSD Effects on Low‐Frequency Fluctuations and Regional Homogeneity to Receptor Densities in fMRI,2025,Paolo La‐Torraca‐Vittori; Livio Tarchi; Elisa Arrigo; Stefano Lanterna; Eleonora Tosi; Arne Doose; Fulvia Palesi; Doris Pischedda; Valdo Ricca; Paolo Fusar‐Poli
10.1111/j.1476-5381.2009.00522.x,MDMA,DAT (SLC6A3),"Dopamine transporter down‐regulation following repeated cocaine: implications for 3,4‐methylenedioxymethamphetamine‐induced acute effects and long‐term neurotoxicity in mice",2009,I Peraile; E Torres; A Mayado; M Izco; A Lopez‐Jimenez; JA Lopez‐Moreno; MI Colado; E O'Shea
10.1111/j.1476-5381.2012.01998.x,LSD,5-HT2A,"Comparative neuropharmacology of three psychostimulant cathinone derivatives: butylone, mephedrone and methylone",2012,Raul López‐Arnau; Jose Martínez‐Clemente; David Pubill; Elena Escubedo; Jorge Camarasa
10.1111/j.1476-5381.2012.02145.x,MDMA,SERT,Pharmacological characterization of designer cathinones<i>in vitro</i>,2012,LD Simmler; TA Buser; M Donzelli; Y Schramm; L‐H Dieu; J Huwyler; S Chaboz; MC Hoener; ME Liechti
10.1111/j.1526-4610.2009.01575.x,LSD,5-HT2C,"Triptans, Serotonin Agonists, and Serotonin Syndrome (Serotonin Toxicity): A Review",2009,P. Ken Gillman
10.1111/j.1742-4658.2006.05212.x,Salvinorin A,kappa opioid receptor (OPRK1),"A unique binding epitope for salvinorin A, a non‐nitrogenous kappa opioid receptor agonist",2006,Brian E. Kane; Marcelo J. Nieto; Christopher R. McCurdy; David M. Ferguson
10.1111/j.1749-6632.1998.tb10177.x,,5-HT1B,Putative 5‐ht<sub>5</sub> Receptors: Localization in the Mouse CNS and Lack of Effect in the Inhibition of Dural Protein Extravasation,1998,C. WAEBER; R. GRAILHE; X‐J. YU; R. HEN; M. A. MOSKOWITZ
10.1111/jnc.12114,MDMA,DAT (SLC6A3),"Mephedrone does not damage dopamine nerve endings of the striatum, but enhances the neurotoxicity of methamphetamine, amphetamine, and MDMA",2012,Mariana Angoa‐Pérez; Michael J. Kane; Denise I. Briggs; Dina M. Francescutti; Catherine E. Sykes; Mrudang M. Shah; David M. Thomas; Donald M. Kuhn
10.1111/jnc.13048,MDMA,DAT (SLC6A3),"3,4‐Methylenedioxypyrovalerone prevents while methylone enhances methamphetamine‐induced damage to dopamine nerve endings: β‐ketoamphetamine modulation of neurotoxicity by the dopamine transporter",2015,John H. Anneken; Mariana Angoa‐Pérez; Donald M. Kuhn
10.1113/jphysiol.1994.sp020230,,5-HT7,Inhibition by 5‐HT7 receptor stimulation of GABAA receptor‐activated current in cultured rat suprachiasmatic neurones.,1994,F Kawahara; H Saito; H Katsuki
10.1124/jpet.115.225664,Ketamine,NMDA receptor,"The Prodrug 4-Chlorokynurenine Causes Ketamine-Like Antidepressant Effects, but Not Side Effects, by NMDA/GlycineB-Site Inhibition",2015,Panos Zanos; Sean C. Piantadosi; Hui-Qiu Wu; Heather J. Pribut; Matthew J. Dell; Adem Can; H. Ralph Snodgrass; Carlos A. Zarate; Robert Schwarcz; Todd D. Gould
10.1126/science.1166127,DMT,Sigma-1 receptor (SIGMAR1),"The Hallucinogen
            <i>N,N</i>
            -Dimethyltryptamine (DMT) Is an Endogenous Sigma-1 Receptor Regulator",2009,Dominique Fontanilla; Molly Johannessen; Abdol R. Hajipour; Nicholas V. Cozzi; Meyer B. Jackson; Arnold E. Ruoho
10.1126/science.ado7010,Ketamine,NMDA receptor,Brain region–specific action of ketamine as a rapid antidepressant,2024,Min Chen; Shuangshuang Ma; Hanxiao Liu; Yiyan Dong; Jingxiang Tang; Zheyi Ni; Yi Tan; Chenchi Duan; Hui Li; Hefeng Huang
10.1126/scitranslmed.aaw6435,MDMA,SERT (SLC6A4),Distinct neural mechanisms for the prosocial and rewarding properties of MDMA,2019,Boris D. Heifets; Juliana S. Salgado; Madison D. Taylor; Paul Hoerbelt; Daniel F. Cardozo Pinto; Elizabeth E. Steinberg; Jessica J. Walsh; Ji Y. Sze; Robert C. Malenka
10.1155/2012/543747,Salvinorin A,kappa opioid receptor (OPRK1),A Report of Nausea and Vomiting with Discontinuation of Chronic Use of<i>Salvia divinorum</i>,2012,C. R. Travis; G. A. Ray; K. F. Marlowe
10.1162/089892905774597191,Psilocin,5-HT2A,"Using Psilocybin to Investigate the Relationship between Attention, Working Memory, and the Serotonin 1A and 2A Receptors",2005,Olivia L. Carter; David C. Burr; John D. Pettigrew; Guy M. Wallis; Felix Hasler; Franz X. Vollenweider
10.1177/0004867415586601,Ketamine,NMDA receptor,"Changes in cortical
                    <i>N</i>
                    -methyl-
                    <scp>d</scp>
                    -aspartate receptors and post-synaptic density protein 95 in schizophrenia, mood disorders and suicide",2015,Brian Dean; Andrew S Gibbons; Simone Boer; Akihito Uezato; James Meador-Woodruff; Elizabeth Scarr; Robert E McCullumsmith
10.1177/0269881120944160,MDMA,SERT (SLC6A4),Genetic deletion of <i>Rgs12</i> in mice affects serotonin transporter expression and function <i>in vivo</i> and <i>ex vivo</i>,2020,Allison N White; Joshua D Gross; Shane W Kaski; Kristen R Trexler; Kim A Wix; William C Wetsel; Steven G Kinsey; David P Siderovski; Vincent Setola
10.1177/02698811251361453,5-MeO-DMT,5-HT1A,Pharmacological characterisation of psilocybin and 5-MeO-DMT discriminative cues in the rat and their translational value for identifying novel psychedelics,2025,Guy A Higgins; Cam MacMillan; Ines de Lannoy; Carolyn Tyler; Malik Slassi
10.1211/0022357044346,Psilocin,5-HT1E,Cloned human 5-HT1A receptor pharmacology determined using agonist binding and measurement of cAMP accumulation,2004,Najam A Sharif; Colene D Drace; Gary W Williams; Julie Y Crider
10.1254/fpj.97.4_209,5-MeO-DMT,5-HT1A,Anxiolytic effects of lisuride and its agonistic action to central 5-HT1A receptors.,1991,Tetsuo Akai; Masaya Takahashi; Yukie Nakada; Reiko Ohnishi; Yukihiro Ikoma; Motonori Yamaguchi
10.12659/MSM.950601,S-ketamine,NMDA receptor,Ketamine or Esketamine in Special Populations of Patients With Treatment-Resistant Depression,2026,Łukasz Grabarczyk; Sophia Rebekka Wolfermann; Hubert Oniszczuk; Paweł Radkowski
10.12740/pp/onlinefirst/134330,R-ketamine,NMDA receptor,Ketamine - a long way from anesthetic to a prototype antidepressant: Review of potential mechanisms of action,2021,Bartłomiej Pochwat
10.1371/journal.pcbi.1002473,LSD,5-HT2A,Ligand-Dependent Conformations and Dynamics of the Serotonin 5-HT2A Receptor Determine Its Activation and Membrane-Driven Oligomerization Properties,2012,Jufang Shan; George Khelashvili; Sayan Mondal; Ernest L. Mehler; Harel Weinstein
10.1371/journal.pone.0007952,MDMA,DAT (SLC6A3),Role of Serotonin via 5-HT2B Receptors in the Reinforcing Effects of MDMA in Mice,2009,Stéphane Doly; Jesus Bertran‐Gonzalez; Jacques Callebert; Alexandra Bruneau; Sophie M. Banas; Arnauld Belmer; Katia Boutourlinsky; Denis Hervé; Jean‐Marie Launay; Luc Maroteaux
10.1371/journal.pone.0041724,Salvinorin A,kappa opioid receptor (OPRK1),Salvinorin A Administration after Global Cerebral Hypoxia/Ischemia Preserves Cerebrovascular Autoregulation via Kappa Opioid Receptor in Piglets,2012,Zhenhong Wang; Nan Ma; John Riley; William M. Armstead; Renyu Liu
10.1371/journal.pone.0047599,MDMA,SERT (SLC6A4),"Clinical Pharmacology of 3,4-Methylenedioxymethamphetamine (MDMA, “Ecstasy”): The Influence of Gender and Genetics (CYP2D6, COMT, 5-HTT)",2012,Ricardo Pardo‐Lozano; Magı́ Farré; Samanta Yubero‐Lahoz; Brian O’Mathúna; Marta Torrens; Cristina Mustata; Clara Pérez‐Mañá; Klaus Langohr; Elisabet Cuyàs; Marcel·lí Carbó
10.1371/journal.pone.0063635,Noribogaine,,Ligand Induced Conformational Changes of the Human Serotonin Transporter Revealed by Molecular Dynamics Simulations,2013,Heidi Koldsø; Henriette Elisabeth Autzen; Julie Grouleff; Birgit Schiøtt
10.1371/journal.pone.0071326,Ketamine,NMDA receptor,Ketamine Does Not Produce Relief of Neuropathic Pain in Mice Lacking the β-Common Receptor (CD131),2013,Maarten Swartjes; Marieke Niesters; Lara R. Heij; Ann Dunne; Leon Aarts; Carla Cerami Hand; Hyung‐Suk Kim; Michael Brines; Anthony Cerami; Albert Dahan
10.1371/journal.pone.0075426,DOI,5-HT2A,Serotonin 5-HT2A Receptor Activation Blocks TNF-α Mediated Inflammation In Vivo,2013,Felix Nau; Bangning Yu; David Martin; Charles D. Nichols
10.1371/journal.pone.0083879,Ketamine,NMDA receptor,Mice Lacking NMDA Receptors in Parvalbumin Neurons Display Normal Depression-Related Behavior and Response to Antidepressant Action of NMDAR Antagonists,2014,Laura Pozzi; Iskra Pollak Dorocic; Xinming Wang; Marie Carlén; Konstantinos Meletis
10.1371/journal.pone.0157021,Ketamine,NMDA receptor,"Pharmacological Investigations of the Dissociative ‘Legal Highs’ Diphenidine, Methoxphenidine and Analogues",2016,Jason Wallach; Heather Kang; Tristan Colestock; Hamilton Morris; Zuner A. Bortolotto; Graham L. Collingridge; David Lodge; Adam L. Halberstadt; Simon D. Brandt; Adeboye Adejare
10.1371/journal.pone.0166750,MDMA,SERT (SLC6A4),Non-Serotonergic Neurotoxicity by MDMA (Ecstasy) in Neurons Derived from Mouse P19 Embryonal Carcinoma Cells,2016,Dina Popova; Andréas Forsblad; Sanaz Hashemian; Stig Jacobsson
10.1371/journal.pone.0243313,,5-HT2B,Free energy calculations of the functional selectivity of 5-HT2B G protein-coupled receptor,2020,Brandon L. Peters; Jinxia Deng; Andrew L. Ferguson
10.14336/AD.2024.0239,R-ketamine,NMDA receptor,Repurposing Ketamine in the Therapy of Depression and Depression-Related Disorders: Recent Advances and Future Potential,2024,Qianting Deng; Emily D. Parker; Chongyun Wu; Ling Zhu; Timon Cheng‐Yi Liu; Rui Duan; Luodan Yang
10.14581/jer.25008,Ketamine,NMDA receptor,Use of Ketamine Needs Caution in NMDA-R Encephalitis Related Status Epilepticus,2025,Samhita Panda; Krishna Kanth Ravi; R. Kushwah; Sameer Taywade; Sarbesh Tiwari
10.1515/biol-2022-0816,S-ketamine,NMDA receptor,The role and mechanism of esketamine in preventing and treating remifentanil-induced hyperalgesia based on the NMDA receptor–CaMKII pathway,2024,Jiafang Wang; Yankun Feng; Qi Zhong; Jin Li; Zhijun Chen; Jinming Zhang; Degang Zhu
10.1517/13543776.2014.972938,Ketamine,NMDA receptor,NMDA receptor modulators: an updated patent review (2013 – 2014),2014,Katie L Strong; Yao Jing; Anthony R Prosser; Stephen F Traynelis; Dennis C Liotta
10.1523/JNEUROSCI.09-10-03482.1989,LSD,5-HT2A,"Differentiation of 5-hydroxytryptamine2 receptor subtypes using 125I-R- (-)2,5-dimethoxy-4-iodo-phenylisopropylamine and 3H-ketanserin",1989,DJ McKenna; SJ Peroutka
10.1523/JNEUROSCI.1203-16.2016,Ketamine,NMDA receptor,The Role of GluN2C-Containing NMDA Receptors in Ketamine's Psychotogenic Action and in Schizophrenia Models,2016,Elizaveta Khlestova; Jon W. Johnson; John H. Krystal; John Lisman
10.1523/JNEUROSCI.2063-13.2013,Psilocin,5-HT2A,Broadband Cortical Desynchronization Underlies the Human Psychedelic State,2013,Suresh D. Muthukumaraswamy; Robin L. Carhart-Harris; Rosalyn J. Moran; Matthew J. Brookes; Tim M. Williams; David Errtizoe; Ben Sessa; Andreas Papadopoulos; Mark Bolstridge; Krish D. Singh
10.1523/JNEUROSCI.21-04-01413.2001,MDMA,DAT (SLC6A3),Methamphetamine-Induced Rapid and Reversible Changes in Dopamine Transporter Function: An<i>In Vitro</i>Model,2001,Verónica Sandoval; Evan L. Riddle; Yvette V. Ugarte; Glen R. Hanson; Annette E. Fleckenstein
10.1523/JNEUROSCI.4034-14.2015,MDMA,SERT,Amphetamine Action at the Cocaine- and Antidepressant-Sensitive Serotonin Transporter Is Modulated by αCaMKII,2015,Thomas Steinkellner; Therese R. Montgomery; Tina Hofmaier; Oliver Kudlacek; Jae-Won Yang; Mattias Rickhag; Gangsoo Jung; Gert Lubec; Ulrik Gether; Michael Freissmuth
10.1523/JNEUROSCI.5723-07.2008,MDMA,DAT (SLC6A3),"Serotonin 5-HT<sub>2B</sub>Receptors Are Required for 3,4-Methylenedioxymethamphetamine-Induced Hyperlocomotion and 5-HT Release<i>In Vivo</i>and<i>In Vitro</i>",2008,Stéphane Doly; Emmanuel Valjent; Vincent Setola; Jacques Callebert; Denis Hervé; Jean-Marie Launay; Luc Maroteaux
10.1523/jneurosci.05-12-03178.1985,,5-HT1B,125I-lysergic acid diethylamide binds to a novel serotonergic site on rat choroid plexus epithelial cells,1985,KA Yagaloff; PR Hartig
10.1523/jneurosci.0903-15.2015,,AMPA receptor,Evidence that Subanesthetic Doses of Ketamine Cause Sustained Disruptions of NMDA and AMPA-Mediated Frontoparietal Connectivity in Humans,2015,Suresh D. Muthukumaraswamy; Alexander D. Shaw; Laura E. Jackson; Judith Hall; Rosalyn Moran; Neeraj Saxena
10.1556/2054.2021.00152,Ibogaine,kappa opioid receptor (OPRK1),"A narrative review of the pharmacological, cultural and psychological literature on ibogaine",2021,Martie S. Underwood; Stephen J. Bright; B. Les Lancaster
10.17615/pp8r-zq26,Bufotenin,,"Potential Modes of Interaction of 9-Aminomethyl-9,10-dihydroanthracene (AMDA) Derivatives with the 5-HT 2A Receptor: A Ligand Structure-Affinity Relationship, Receptor Mutagenesis and Receptor Modeling Investigation",2020,Scott P. Runyon; Richard A. Glennon; Bryan L. Roth; Richard B. Westkaemper; Philip D. Mosier
10.17615/wb9e-4z40,Salvinorin A,kappa opioid receptor (OPRK1),Michael acceptor approach to the design of new salvinorin A-based high affinity ligands for the kappa-opioid receptor,2020,Prabhakar R. Polepally; Krzysztof Huben; Eyal Vardy; Vincent Setola; Philip D. Mosier; Bryan L. Roth; Jordan K. Zjawiony
10.20944/preprints202011.0742.v1,Psilocin,5-HT2A,A Single Dose of Psilocybin Increases Synaptic Density and Decreases 5-HT2A Receptor Density in the Pig Brain,2020,Nakul Ravi Raval; Annette Johansen; Lene Lundgaard Donovan; Nídia Fernandez Ros; Brice Ozenne; Hanne Demant Hansen; Gitte Moos Knudsen
10.20944/preprints202202.0156.v1,R-ketamine,NMDA receptor,Ketamine as a Novel Psychopharmacotherapy for Eating Disorders: Evidence and Future Directions,2022,Anya Ragnhildstveit; Matthew Slayton; Laura Jackson; Madeline Brendle; Sachin Ahuja; Willis Holle; Claire Moore; Kellie Sollars; Paul Seli; Reid Robison
10.20944/preprints202202.0156.v2,R-ketamine,NMDA receptor,Ketamine as a Novel Psychopharmacotherapy for Eating Disorders: Evidence and Future Directions,2022,Anya Ragnhildstveit; Matthew Slayton; Laura Jackson; Madeline Brendle; Sachin Ahuja; Willis Holle; Claire Moore; Kellie Sollars; Paul Seli; Reid Robison
10.20944/preprints202305.2199.v1,R-ketamine,NMDA receptor,Exploring the Molecular Targets for the Antidepressant and Antisuicidal Effects of Ketamine Enantiomers by using Network Pharmacology and Molecular Docking,2023,Glorister A. Altê; Ana Lúcia S. Rodrigues
10.20944/preprints202309.1649.v1,Psilocin,5-HT2A,Limbic System Response to Psilocybin and Ketamine Administration in Rats: A Neurochemical and Behavioral Study,2023,Adam Wojtas; Agnieszka Bysiek; Agnieszka Wawrzczak-Bargiela; Marzena Maćkowiak; Krystyna Gołembiowska
10.21307/ane-2021-005,Salvinorin A,kappa opioid receptor (OPRK1),Salvia divinorum increases alcohol intake and tonic immobility whilst decreasing food intake in Wistar rats,2021,Priscila Vázquez-León; Ulises Arenas-Martínez; Dafne Córdova-Maqueda; Tomás Fregoso-Aguilar; Eduardo Ramírez‐San Juan; Abraham Miranda-Páez
10.2147/SAR.S37258,MDMA,SERT (SLC6A4),"3,4-methylenedioxymethamphetamine (MDMA): current perspectives",2013,Jerry Meyer
10.25772/0ynr-6690,LSD,5-HT2A,5-HT2B Receptor-mediated Cardiac Valvulopathy,2018,Pallavi Nistala
10.26434/chemrxiv-2023-h7h38,Salvinorin A,kappa opioid receptor (OPRK1),"A route to potent, selective and biased salvinorin chemical space",2023,Sarah Hill; Nathan Dao; Vuong Dang; Edward Stahl; Laura Bohn; Ryan Shenvi
10.26434/chemrxiv.9922301.v2,Ibogaine,DAT (SLC6A3),The Substrate Import Mechanism of the Human Serotonin Transporter,2020,Matthew Chan; Balaji Selvam; Heather Young; Erik Procko; Diwakar Shukla
10.26686/wgtn.16926640.v1,Bufotenin,,A Behavioural Analysis of Serotonergic Functional Status Following MDMA Exposure,2006,Katie Brennan
10.26686/wgtn.16969075.v1,,5-HT1B,Tolerance to the Behavioural and Neurochemical Effects of MDMA Following Repeated Exposure,2009,Karen L. Jones
10.26686/wgtn.16985389,LSD,DAT (SLC6A3),Investigating the Effects of Novel Kappa Opioid Receptor Agonists on the Dopamine Transporter,2011,"Simonson, Bridget"
10.26686/wgtn.16985389.v1,LSD,DAT (SLC6A3),Investigating the Effects of Novel Kappa Opioid Receptor Agonists on the Dopamine Transporter,2011,Bridget Simonson
10.26686/wgtn.17003281,MDMA,SERT (SLC6A4),Elucidating the Cellular Effects of MDMA on the Serotonin Transporter (SERT),2012,A. Holley
10.26686/wgtn.17006281,MDMA,SERT (SLC6A4),Investigating the Effect of Kappa Opioid Receptor Agonists on Serotonin Transporter Function in HEK-293 Cells,2013,Victoria Catherwood
10.26686/wgtn.17011409.v1,Ibogaine,kappa opioid receptor (OPRK1),Behavioural Pharmacology of Novel Kappa Opioid Compounds,2011,Aashish S. Morani
10.26686/wgtn.17013914,Ibogaine,kappa opioid receptor (OPRK1),Kappa Opioid Receptor Agonists: New Targets In The Treatment Of Pain,2014,Nitin Kumar
10.26686/wgtn.17014775.v1,MDMA,5-HT1B,The role of 5-HT1A and 5-HT1B receptors in MDMA self-administration,2016,Dane Aronsen
10.26686/wgtn.17060342,Salvinorin A,kappa opioid receptor (OPRK1),"Investigating the analgesic properties of Kurkinorin, a novel mu-opioid receptor analogue of Salvinorin A",2017,Nirajmohan Shivaperumal
10.26686/wgtn.17148113,Salvinorin A,kappa opioid receptor (OPRK1),Investigating the anti-cocaine effects of novel kappa opioid receptor agonists: Behavioural and cellular actions of Salvinorin A analogues,2016,Amy Ewald
10.26686/wgtn.20388006,LSD,5-HT2A,Discriminative Stimulus Properties of MDMA: The Role of Serotonin and Dopamine,2016,Jeremy Webster
10.2967/jnumed.110.083246,DMT,5-HT2A,"In Vivo Long-Term Kinetics of Radiolabeled <i>N</i>,<i>N</i>-Dimethyltryptamine and Tryptamine",2011,Arturo A. Vitale; Alicia B. Pomilio; Carlos O. Cañellas; Martín G. Vitale; Eva Maria Putz; Jorge Ciprian-Ollivier
10.31390/gradschool_dissertations.2049,Bufotenin,,"Ayahuasca characterization, metabolism in humans, and relevance to endogenous N,N-dimethyltryptamines",2012,Ethan McIlhenny
10.3390/psychoactives3010004,,5-HT2B,The Effects of Psilocybin on Lipopolysaccharide-Induced Inflammation in THP-1 Human Macrophages,2024,Esmaeel Ghasemi Gojani; Bo Wang; Dongping Li; Olga Kovalchuk; Igor Kovalchuk
10.3390/psychoactives3010007,5-MeO-DMT,5-HT1A,"The Clinical Potential of Dimethyltryptamine: Breakthroughs into the Other Side of Mental Illness, Neurodegeneration, and Consciousness",2024,Frankie A. Colosimo; Philip Borsellino; Reese I. Krider; Raul E. Marquez; Thomas A. Vida
10.33915/etd.6309,Ketamine,5-HT1B,Evaluation of the antidepressant potential of dextromethorphan,2015,Linda Nguyen
10.4414/smw.2015.14043,MDMA,SERT (SLC6A4),Novel psychoactive substances (designer drugs): overview and pharmacology of modulators of monoamine signalling,2015,Matthias Liechti
10.52965/001c.25091,S-ketamine,NMDA receptor,Role of Ketamine in the Treatment of Psychiatric Disorders,2021,Sahar Derakhshanian; Maxine Zhou; Alexander Rath; Rachel Barlow; Sarah Bertrand; Caroline DeGraw; Christopher Lee; Jamal Hasoon; Alan D. Kaye
10.52965/001c.38672,Ibogaine,kappa opioid receptor (OPRK1),"Historical Pathways for Opioid Addiction, Withdrawal with   Traditional and Alternative Treatment Options with Ketamine,   Cannabinoids, and Noribogaine: A Narrative Review",2022,Amber N. Edinoff; Natalie W. Wu; Catherine A. Nix; Bryce Bonin; Rama Mouhaffel; Stephen Vining; William Gibson; Elyse M. Cornett; Kevin S. Murnane; Adam M. Kaye
10.53846/goediss-2111,Psilocin,5-HT2A,Tryptamines as Ligands and Modulators of the Serotonin 5‑HT2A Receptor and the Isolation of Aeruginascin from the Hallucinogenic Mushroom Inocybe aeruginascens,2005,"Jensen, Niels"
10.5451/UNIBAS-007055508,,VMAT2 (SLC18A2),Pharmacological and toxicological investigations of new psychoactive substances,2018,Dino Lüthi
