doi,author_position,display_name,author_id,identity_confidence,identity_review_id,previous_author_id
10.3389/fphar.2026.1840956,2,Robin L. Carhart-Harris,orcid:0000-0002-6062-7150,curated_openalex_to_orcid,,openalex:A5137807234
10.3389/fpsyg.2018.01424,8,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-096,orcid:0000-0002-6423-9411
10.3389/fpsyg.2025.1580663,9,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-097,orcid:0000-0002-6423-9411
10.3389/fpsyt.2019.00138,3,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-098,orcid:0000-0002-6423-9411
10.3389/fpubh.2024.1391390,1,Pablo Del Pozo‐Herce,openalex:A5055976026,openalex_author_id,author-review-20260906-008,orcid:0000-0002-4141-6956
10.3390/ijerph15040771,8,Zihang Pan,openalex:A5110830165,openalex_author_id,author-review-20260906-017,orcid:0000-0003-4733-2523
10.3390/ijerph15040771,13,Roger S. McIntyre,orcid:0000-0003-4733-2523,orcid,author-review-20260906-014,orcid:0000-0003-4013-1112
10.3929/ethz-c-000799490,9,Matthias E. Liechti,orcid:0000-0002-1765-9659,curated_openalex_to_orcid,,openalex:A5135681019
10.4038/sljpsyc.v11i1.8240,1,N. Ravindran,orcid:0000-0002-0468-1099,orcid,author-review-20260906-020,orcid:0000-0002-1655-2753
10.4088/jcp.24m15534,10,Roger S. McIntyre,orcid:0000-0003-4733-2523,orcid,author-review-20260906-015,orcid:0000-0003-4013-1112
10.5167/uzh-284344,3,Leor Roseman,orcid:0000-0001-9990-6029,curated_openalex_to_orcid,,openalex:A5124837407
10.7554/elife.59784,3,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-099,orcid:0000-0002-6423-9411
