pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-017164b6c1bc7340,mechanistic,full_text_relevant,10.2967/jnumed.122.264391,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Neurovascular Uncoupling: Multimodal Imaging Delineates the Acute Effects of 3,4-Methylenedioxymethamphetamine",2022,Tudor M. Ionescu; Mario Amend; Tadashi Watabe; Jun Hatazawa; Andreas Maurer; Gerald Reischl; Bernd J. Pichler; Hans F. Wehrl; Kristina Herfert,Journal of Nuclear Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-01213753d31b9bf3,mechanistic,full_text_relevant,10.3389/fnagi.2025.1505908,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine does not rescue plaque load or gap detection in the 5XFAD mouse model of Alzheimer's disease,2025,Alexa L. Wright; Aldis P. Weible; Olivia B. Estes; Michael Wehr,Frontiers in Aging Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-0088c7841c8e16a1,mechanistic,full_text_relevant,10.3389/fphar.2021.794254,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines",2022,Karolina E. Kolaczynska; Dino Luethi; Daniel Trachsel; Marius C. Hoener; Matthias E. Liechti,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-0170a781205ea184,mechanistic,full_text_relevant,10.3390/ph17060669,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine’s Amelioration of Fear Extinction in Adolescent Male Mice Is Associated with the Activation of the Hippocampal Akt-mTOR-GluA1 Pathway,2024,Emilija Glavonic; Milorad Dragic; Milos Mitic; Minja Aleksic; Iva Lukic; Sanja Ivkovic; Miroslav Adzic,Pharmaceuticals,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-00ac3901bfcfab43,disorder,full_text_uncertain,10.1016/j.phrs.2024.107338,full_text,full_text_seen,uncertain,likely_secondary,low,abstract_secondary,Mind over matter: the microbial mindscapes of psychedelics and the gut-brain axis,2024,Giorgia Caspani; Simon G.D. Ruffell; WaiFung Tsang; Nigel Netzband; Cyrus Rohani-Shukla; Jonathan R. Swann; Wilfred A. Jefferies,Pharmacological Research,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-081a7de8db842ebc,disorder,full_text_uncertain,10.1038/s41398-024-03059-8,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience.,2024,Nicholas CR; Banks MI; Lennertz RC; Wenthur CJ; Krause BM; Riedner BA; Smith RF; Hutson PR; Sauder CJ; Dunne JD,Translational psychiatry,Journal Article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0878a96ccad67668,disorder,full_text_uncertain,10.1038/s41598-022-11999-8,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,"Phenomenology and content of the inhaled N, N-dimethyltryptamine (N, N-DMT) experience",2022,David Wyndham Lawrence; Robin Carhart-Harris; Roland Griffiths; Christopher Timmermann,Scientific Reports,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0423400fb625a0c9,disorder,full_text_uncertain,10.1089/psymed.2023.0061,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,"Divergent Effects of Ketamine and the Serotoninergic Psychedelic 2,5-Dimethoxy-4-Iodoamphetamine on Hippocampal Plasticity and Metaplasticity",2024,Zarmeen Zahid; Ziyad W. Sultan; Bryan M. Krause; Cody J. Wenthur; Robert A. Pearce; Matthew I. Banks,Psychedelic Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0782791068992702,disorder,full_text_uncertain,10.1192/bjp.bp.116.194738,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Psychedelics and the science of self-experience,2017,Matthew M. Nour; Robin L. Carhart-Harris,The British Journal of Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-00ba2c0c8dae1e23,disorder,full_text_uncertain,10.12927/hcpol.2023.27048,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Psychedelics to Relieve Psychological Suffering Associated with a Life-Threatening Diagnosis: Time for a Canadian Policy Discussion,2023,Sarah Kratina; Christopher Lo; Carol Strike; Robert Schwartz; Brian Rush,Healthcare policy,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-0801a3409a4244ac,disorder,full_text_uncertain,10.20944/preprints202407.2400.v1,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,‘Psychedelic’ as Mind-Revealing: Psychological Processes in the Subjective Experience That Drive Positive Change,2024,Rúna F. E. Walther; Hein T. van Schie,Preprints.org,posted-content,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.lean_e2e.jsonl
pilot-054dcf1d681924b9,mechanistic,full_text_uncertain,10.1007/s00213-006-0320-8,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Reinforcing effects of methylenedioxy amphetamine congeners in rhesus monkeys: are intravenous self-administration experiments relevant to MDMA neurotoxicity?,2006,William E. Fantegrossi,Psychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-041c23e4d7c1a5c2,mechanistic,full_text_uncertain,10.1016/j.isci.2024.109631,full_text,full_text_seen,uncertain,likely_secondary,high,publication_type_secondary,Human pluripotent stem cells as a translational toolkit in psychedelic research in vitro.,2024,Salerno JA; Rehen S,iScience,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-039892b81aaf45e8,mechanistic,full_text_uncertain,10.1038/s41386-023-01725-x,full_text,full_text_seen,uncertain,likely_primary,high,trial_registry_present,"Antidepressants enter cells, organelles, and membranes",2023,Zack Blumenfeld; Kallol Bera; Eero Castrén; Henry A. Lester,Neuropsychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-0684d35f91c31f98,mechanistic,full_text_uncertain,10.1038/s41398-023-02690-1,full_text,full_text_seen,uncertain,likely_primary,low,abstract_primary,Psilocybin-induced default mode network hypoconnectivity is blunted in alcohol-dependent rats,2023,Jonathan R. Reinwald; Christian N. Schmitz; Ivan Skorodumov; Martin Kuchar; Wolfgang Weber-Fahr; Rainer Spanagel; Marcus W. Meinhardt,Translational Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-03b51893d8731b8c,mechanistic,full_text_uncertain,10.1177/2470547018796102,full_text,full_text_seen,uncertain,likely_primary,low,abstract_primary,"Ketamine, but Not the NMDAR Antagonist Lanicemine, Increases Prefrontal Global Connectivity in Depressed Patients",2018,Chadi G. Abdallah; Arpan Dutta; Christopher L. Averill; Shane McKie; Teddy J. Akiki; Lynnette A. Averill; J.F.W. Deakin,"Chronic stress (Thousand Oaks, Calif.)",Journal Article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-036e8acdf0f0fd4a,mechanistic,full_text_uncertain,10.2174/157015911795017209,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Analysis of Electrical Brain Waves in Neurotoxicology: Gamma- Hydroxybutyrate,2011,Z. K. Binienda; M. A. Beaudoin; B. T. Thorn; S. F. Ali,Current Neuropharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-03e014510389279b,mechanistic,full_text_uncertain,10.48550/arxiv.2411.19840,full_text,full_text_seen,uncertain,likely_secondary,low,abstract_secondary,Neuroplasticity and Psychedelics: a comprehensive examination of classic and non-classic compounds in pre and clinical models,2024,Claudio Agnorelli; Meg J. Spriggs; Kate Godfrey; Gabriela Sawicka; Bettina Bohl; Hannah Douglass; Andrea Fagiolini; Hashemi Parastoo; Robin Carhart‐Harris; David Nutt,,,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.lean_e2e.jsonl
pilot-00cd95178344d3f3,disorder,abstract_relevant,10.1007/978-3-540-74806-9_15,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Ketamine,2008,B. Sinner; B. M. Graf,Handbook of experimental pharmacology,book-chapter,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-0027a3b495c8d0bb,disorder,abstract_relevant,10.1007/s004820050098,abstract,abstract_only,relevant,unknown,low,publication_type_generic,Ketamin zur Therapie chronischer Schmerzen,1997,B. Wiedemann,Der Schmerz,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-00bbd8b6490e6e85,disorder,abstract_relevant,10.1016/j.jpsychires.2025.11.030,abstract,abstract_only,relevant,likely_primary,high,trial_registry_present,MDMA-assisted therapy for major depressive disorder: A seven-month follow-up proof of principle trial,2025,Tor-Morten Kvam; Justyna Rog; Lowan Han Stewart; Ingrid Autran; Mark Berthold-Losleben; Lynn Mørch-Johnsen; René Holst; Jan Ivar Røssberg; Ole A. Andreassen,Journal of Psychiatric Research,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
pilot-00e445aca3cefec6,disorder,abstract_relevant,10.1016/j.psychres.2018.08.078,abstract,abstract_only,relevant,likely_primary,low,abstract_primary,"Rapid inflammation modulation and antidepressant efficacy of a low-dose ketamine infusion in treatment-resistant depression: A randomized, double-blind control study",2018,Mu-Hong Chen; Cheng-Ta Li; Wei-Chen Lin; Chen-Jee Hong; Pei-Chi Tu; Ya-Mei Bai; Chih-Ming Cheng; Tung-Ping Su,Psychiatry Research,journal-article,1,extraction_candidate,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_extraction_candidates.jsonl
