pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-0204daf495619c30,disorder,full_text_relevant,10.1192/j.eurpsy.2025.684,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,"Efficacy of Esketamine nasal spray in treatment-resistant depression: impact on depressive symptoms,hopelessness and suicide risk: A real-world evidence study",2025,M. Pompili; M. A. Trocchia; L. Longhini; E. Dispenza; C. Di Legge; S. Sarubbi; D. Erbuto; I. Berardelli,European Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-02aa7833e338f324,disorder,full_text_relevant,10.15386/cjmed-500,full_text,full_text_seen,relevant,likely_secondary,high,publication_type_secondary,The role of ketamine in the treatment of chronic cancer pain.,2015,Zgaia AO; Irimie A; Sandesc D; Vlad C; Lisencu C; Rogobete A; Achimas-Cadariu P,Clujul medical (1957),Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0185f38f004657b8,disorder,full_text_relevant,10.2147/ndt.s282208,full_text,full_text_seen,relevant,likely_secondary,high,publication_type_secondary | title_secondary,Ketamine in Bipolar Disorder: A Review.,2020,Wilkowska A; Szałach Ł; Cubała WJ,Neuropsychiatric disease and treatment,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-02b00643103d6111,disorder,full_text_relevant,10.3389/fpsyt.2021.702838,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Relational and Growth Outcomes Following Couples Therapy With MDMA for PTSD,2021,Anne C. Wagner; Rachel E. Liebman; Ann T. Mithoefer; Michael C. Mithoefer; Candice M. Monson,Frontiers in Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-02a30a797b4e1463,disorder,full_text_relevant,10.3389/fpsyt.2021.706017,full_text,full_text_seen,relevant,likely_secondary,low,abstract_secondary,Bridging the Gap? Altered Thalamocortical Connectivity in Psychotic and Psychedelic States,2021,Mihai Avram; Helena Rogg; Alexandra Korda; Christina Andreou; Felix Müller; Stefan Borgwardt,Frontiers in Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0267a99e233c837a,disorder,full_text_relevant,10.3389/frcha.2024.1364617,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Psychological effects of psychedelics in adolescents,2024,Nadhrah Izmi; Robin Lester Carhart-Harris; Hannes Kettner,Frontiers in Child and Adolescent Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0254d00e92270a86,disorder,full_text_relevant,10.3390/healthcare12161560,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,The Efficacy of Ketamine for Acute and Chronic Pain in Patients with Cancer: A Systematic Review of Randomized Controlled Trials,2024,Leila Azari; Homa Hemati; Ronia Tavasolian; Sareh Shahdab; Stephanie M. Tomlinson; Margarita Bobonis Babilonia; Jeffrey Huang; Danielle B. Tometich; Kea Turner; Kimia Saleh Anaraki,Healthcare,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-01d87827f7888107,disorder,full_text_relevant,10.3390/neurosci6030083,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,Ketamine’s Therapeutic Role in Substance Use Disorders: A Narrative Review,2025,Alexander Thomas; R. Andrew Chambers,NeuroSci,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-032e533c843d3a0f,disorder,full_text_relevant,10.3390/ph16040568,full_text,full_text_seen,relevant,likely_secondary,medium,title_secondary,Effect of Ketamine on Sleep in Treatment-Resistant Depression: A Systematic Review,2023,Aleksander Kwaśny; Adam Włodarczyk; Damian Ogonowski; Wiesław Jerzy Cubała,Pharmaceuticals,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-020de72df8a8ca8c,disorder,full_text_relevant,10.7759/cureus.44909,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Outpatient Ketamine Infusions for the Treatment of Fibromyalgia and Chronic Pain Syndrome: A Case Report,2023,Sonakshi Sharma; Ruchir Gupta,Cureus,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
