pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-0888311f52b87aad,disorder,full_text_uncertain,10.1001/jamanetworkopen.2025.7803,full_text,full_text_seen,uncertain,likely_primary,high,trial_registry_present,"Negative Affect Circuit Subtypes and Neural, Behavioral, and Affective Responses to MDMA",2025,Xue Zhang; Laura M. Hack; Claire Bertrand; Rachel Hilton; Nancy J. Gray; Leyla Boyar; Jessica Laudie; Boris D. Heifets; Trisha Suppes; Peter J. van Roessel,JAMA Network Open,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-081a7de8db842ebc,disorder,full_text_uncertain,10.1038/s41398-024-03059-8,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience.,2024,Nicholas CR; Banks MI; Lennertz RC; Wenthur CJ; Krause BM; Riedner BA; Smith RF; Hutson PR; Sauder CJ; Dunne JD,Translational psychiatry,Journal Article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0878a96ccad67668,disorder,full_text_uncertain,10.1038/s41598-022-11999-8,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,"Phenomenology and content of the inhaled N, N-dimethyltryptamine (N, N-DMT) experience",2022,David Wyndham Lawrence; Robin Carhart-Harris; Roland Griffiths; Christopher Timmermann,Scientific Reports,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0782791068992702,disorder,full_text_uncertain,10.1192/bjp.bp.116.194738,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Psychedelics and the science of self-experience,2017,Matthew M. Nour; Robin L. Carhart-Harris,The British Journal of Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0801a3409a4244ac,disorder,full_text_uncertain,10.20944/preprints202407.2400.v1,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,‘Psychedelic’ as Mind-Revealing: Psychological Processes in the Subjective Experience That Drive Positive Change,2024,Rúna F. E. Walther; Hein T. van Schie,Preprints.org,posted-content,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-054dcf1d681924b9,mechanistic,full_text_uncertain,10.1007/s00213-006-0320-8,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Reinforcing effects of methylenedioxy amphetamine congeners in rhesus monkeys: are intravenous self-administration experiments relevant to MDMA neurotoxicity?,2006,William E. Fantegrossi,Psychopharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-041c23e4d7c1a5c2,mechanistic,full_text_uncertain,10.1016/j.isci.2024.109631,full_text,full_text_seen,uncertain,likely_secondary,high,publication_type_secondary,Human pluripotent stem cells as a translational toolkit in psychedelic research in vitro.,2024,Salerno JA; Rehen S,iScience,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0684d35f91c31f98,mechanistic,full_text_uncertain,10.1038/s41398-023-02690-1,full_text,full_text_seen,uncertain,likely_primary,low,abstract_primary,Psilocybin-induced default mode network hypoconnectivity is blunted in alcohol-dependent rats,2023,Jonathan R. Reinwald; Christian N. Schmitz; Ivan Skorodumov; Martin Kuchar; Wolfgang Weber-Fahr; Rainer Spanagel; Marcus W. Meinhardt,Translational Psychiatry,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-06d4d96b82eb3796,mechanistic,full_text_uncertain,10.1093/schbul/sbaf068,full_text,full_text_seen,uncertain,likely_secondary,low,abstract_secondary,Visual Hallucinations in Serotonergic Psychedelics and Lewy Body Diseases,2025,Nathan H Heller; Frederick S Barrett; Tobias Buchborn; Daniel Collerton; David Dupuis; Adam L Halberstadt; Renaud Jardri; Tehseen Noorani; Katrin H Preller; John-Paul Taylor,Schizophrenia Bulletin,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-03e014510389279b,mechanistic,full_text_uncertain,10.48550/arxiv.2411.19840,full_text,full_text_seen,uncertain,likely_secondary,low,abstract_secondary,Neuroplasticity and Psychedelics: a comprehensive examination of classic and non-classic compounds in pre and clinical models,2024,Claudio Agnorelli; Meg J. Spriggs; Kate Godfrey; Gabriela Sawicka; Bettina Bohl; Hannah Douglass; Andrea Fagiolini; Hashemi Parastoo; Robin Carhart‐Harris; David Nutt,,,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
