seed_id,dataset,provider_profile,module_id,module_type,query,compound,entity,compound_terms,entity_terms,evidence_terms,recommended_max_results_per_seed
mechanistic_boolean_openalex_006,mechanistic,openalex,lsd_5ht2a,dense_topic,"(LSD OR ""lysergic acid diethylamide"") AND (""5-HT2A"" OR HTR2A OR ""serotonin 2A receptor"") AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling OR ""beta arrestin"" OR ""G protein"")",,,LSD | lysergic acid diethylamide,5-HT2A | HTR2A | serotonin 2A receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling | beta arrestin | G protein,1000
mechanistic_boolean_openalex_007,mechanistic,openalex,psilocin_5ht2a,dense_topic,"(psilocin OR psilocybin) AND (""5-HT2A"" OR HTR2A OR ""serotonin 2A receptor"") AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling)",,,psilocin | psilocybin,5-HT2A | HTR2A | serotonin 2A receptor,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,1000
mechanistic_boolean_openalex_008,mechanistic,openalex,mdma_transporters,dense_topic,"(MDMA OR ""3,4-methylenedioxymethamphetamine"" OR MDA) AND (SERT OR DAT OR NET OR SLC6A4 OR SLC6A3 OR SLC6A2 OR ""serotonin transporter"" OR ""dopamine transporter"" OR ""norepinephrine transporter"") AND (transporter OR uptake OR release OR binding OR affinity OR IC50 OR EC50)",,,"MDMA | 3,4-methylenedioxymethamphetamine | MDA",SERT | DAT | NET | SLC6A4 | SLC6A3 | SLC6A2 | serotonin transporter | dopamine transporter | norepinephrine transporter,transporter | uptake | release | binding | affinity | IC50 | EC50,1000
mechanistic_boolean_openalex_009,mechanistic,openalex,ketamine_nmda,dense_topic,"(ketamine OR esketamine OR arketamine OR ""S-ketamine"" OR ""R-ketamine"") AND (""NMDA receptor"" OR NMDAR OR ""glutamate receptor"") AND (binding OR affinity OR antagonist OR ""channel blocker"" OR ""functional assay"")",,,ketamine | esketamine | arketamine | S-ketamine | R-ketamine,NMDA receptor | NMDAR | glutamate receptor,binding | affinity | antagonist | channel blocker | functional assay,1000
mechanistic_boolean_openalex_010,mechanistic,openalex,salvinorin_kor,dense_topic,"""salvinorin A"" AND (""kappa opioid receptor"" OR KOR OR OPRK1) AND (binding OR affinity OR Ki OR Kd OR IC50 OR EC50 OR radioligand OR ""functional assay"" OR agonist OR antagonist OR ""partial agonist"" OR signaling)",,,salvinorin A,kappa opioid receptor | KOR | OPRK1,binding | affinity | Ki | Kd | IC50 | EC50 | radioligand | functional assay | agonist | antagonist | partial agonist | signaling,1000
